time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
200,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,20.059999465942383,0.4699993133544922,0.0,26.606495368267318,0.4596713834833712,0.55,0.55,0.0,0.30363018580222856,0.3182167446894832,0.0,0.0,0.0,26.606495368267318,29.35478230666736,39.992399263333645,-39.178258996862674,0.7340090329009291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.7166762803524408,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
201,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,20.09000015258789,0.030000686645507812,0.0,7.484610617380963,0.45626360357095674,0.55,0.55,0.0,0.30363018580222856,0.3187670440772535,0.0,0.0,0.0,7.484610617380963,9.20100576351913,38.14413519217311,-39.61314466066515,0.24121678777520447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.7904845688119947,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
202,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.809999465942383,-0.2800006866455078,0.0,-5.79411564446786,0.4578324499188646,0.55,0.55,0.0,0.30363018580222856,0.31851370166461285,0.0,3.0,0.0,-5.79411564446786,-4.23588513935127,37.56481260706265,-39.74945585716173,0.10656460693632572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.7497260833891237,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
203,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.200000762939453,-0.6099987030029297,0.0,-18.999746301663496,0.46404610647903527,0.55,0.55,0.0,0.30363018580222856,0.3175103001865949,0.0,3.0,0.0,-18.999746301663496,-16.776872712460776,37.831516486206986,-39.686702003245415,0.42273285170153047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.6193124699215757,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
204,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.280000686645508,0.07999992370605469,0.0,9.012565438355677,0.46004471517984513,0.55,0.55,0.0,0.30363018580222856,0.3181564578724689,0.0,0.0,0.0,9.012565438355677,10.803756507813434,38.887838101435996,-39.43815574083859,0.2778183883514596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.7008161608493515,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
205,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.299999237060547,0.019998550415039062,0.0,6.516618566252173,0.45701687358266213,0.55,0.55,0.0,0.30363018580222856,0.31864540358493265,0.0,0.0,0.0,6.516618566252173,8.175172312394034,38.20760158057367,-39.59821139280619,0.21396716816034406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.771227554523243,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
206,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.520000457763672,0.220001220703125,0.0,15.129093589497572,0.4506304126600682,0.55,0.55,0.0,0.30363018580222856,0.319676710073629,0.0,0.0,0.0,15.129093589497572,17.243444491003586,37.69286850905256,-39.71932505669351,0.4574723329125851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9481340305400969,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
207,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.25,-0.2700004577636719,0.0,-5.401034591517486,0.4520634191830538,0.55,0.55,0.0,0.30363018580222856,0.31944530351788375,0.0,3.0,0.0,-5.401034591517486,-3.8691176120612107,36.607170152211594,-39.97478349359727,0.09678895728555788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9012417085750841,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
208,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.309999465942383,0.05999946594238281,0.0,8.198439977076479,0.4483773909986653,0.55,0.55,0.0,0.30363018580222856,0.3200405353419178,0.0,0.0,0.0,8.198439977076479,9.952276097849012,36.850781261119145,-39.91746323267785,0.270069609307023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.9899426544604953,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
209,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.56999969482422,0.26000022888183594,0.0,16.88184058221583,0.4413079186228159,0.55,0.55,0.0,0.30363018580222856,0.3211821367423241,0.0,0.0,0.0,16.88184058221583,19.08757541479342,36.2241564697731,-40.06490436005339,0.5269294657205024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.106708332200864,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
210,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.799999237060547,0.22999954223632812,0.0,15.868026714317647,0.4346332152598634,0.55,0.55,0.0,0.30363018580222856,0.32225998955811186,0.0,0.0,0.0,15.868026714317647,18.021699079971654,35.022346165878695,-40.34768325508737,0.5145771501033731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.2130772354741743,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
211,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.579999923706055,-0.2199993133544922,0.0,-3.352024003914119,0.43535202256696065,0.55,0.55,0.0,0.30363018580222856,0.3221439142154586,0.0,3.0,0.0,-3.352024003914119,-1.9407797291624542,33.88764659417678,-40.61467138960546,0.04778518852325761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.1951439508202952,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
212,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.670000076293945,0.09000015258789062,0.0,9.748362843343823,0.4310674083585968,0.55,0.55,0.0,0.30363018580222856,0.3228358076581968,0.0,0.0,0.0,9.748362843343823,11.568458362582387,34.00984383638331,-40.58591909732157,0.34015029349257386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.2675488496074847,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
213,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.670000076293945,0.0,0.0,5.908792390202527,0.4282796944873502,0.55,0.55,0.0,0.30363018580222856,0.3232859767641995,0.0,0.0,0.0,5.908792390202527,7.526827452365808,33.281459420961454,-40.75730366565613,0.22615677266920672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.3105356191833437,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
214,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.510000228881836,-0.15999984741210938,0.0,-0.9234822521234567,0.4281807650961225,0.55,0.55,0.0,0.30363018580222856,0.3233019522041705,0.0,3.0,0.0,-0.9234822521234567,0.2671093563147039,32.807548062849534,-40.868812220505994,0.00814170433593518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.309214602204566,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
215,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.540000915527344,0.030000686645507812,0.0,7.098878394714682,0.4249240228013078,0.55,0.55,0.0,0.30363018580222856,0.3238278615460365,0.0,0.0,0.0,7.098878394714682,8.793204195999763,32.79073006634083,-40.8727693961551,0.2681612815027211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.3647329168574758,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
216,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.649999618530273,0.10999870300292969,0.0,10.58419678355401,0.42031973147436436,0.55,0.55,0.0,0.30363018580222856,0.3245713774899807,0.0,0.0,0.0,10.58419678355401,12.431586582747325,32.23708387622233,-41.00303908794769,0.3856299977528895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.4398569310432698,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
217,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.260000228881836,-0.3899993896484375,0.0,-10.214979632769294,0.4234466432919152,0.55,0.55,0.0,0.30363018580222856,0.32406643359599824,0.0,3.0,0.0,-10.214979632769294,-8.442661907387333,31.45435435064194,-41.187210741025424,0.20498260881205616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.388230772092312,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
218,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,20.049999237060547,0.7899990081787109,0.0,40.50532164057744,0.4269849232936277,0.55,0.55,0.005537022023148062,0.3091672078253766,0.32903208265236256,1.0,1.0,51.895123744305074,-11.389802103727632,-9.553356004623726,31.985929359625587,-41.06213426832339,0.23265609970969003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.4928030101667682,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
219,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.290000915527344,-0.7599983215332031,0.0,-25.088676574098713,0.4353306106934991,0.55,0.55,9.772727272727273e-05,0.3092649350981039,0.3277821211703259,1.0,3.0,0.0,-25.088676574098713,-22.53335597965279,32.58743695991671,-40.92060306825489,0.5506604079628915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.2056781167504216,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
220,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.989999771118164,0.6999988555908203,0.0,36.46168601196048,0.4384953003791586,0.55,0.55,0.003154457802573695,0.31241939290067755,0.33042553458586127,1.0,1.0,46.78193104954556,-10.320245037585082,-8.54466215128072,34.00620381789484,-40.58677557226004,0.2105282331696427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.210582214845449,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
221,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.959999084472656,-0.030000686645507812,0.0,4.794548175677694,0.44155784537689036,0.55,0.55,0.0008900774340350994,0.3133094703347126,0.3308210622894014,1.0,1.0,14.829971141553422,-10.035422965875728,-8.268871493875652,34.54420106445696,-40.46018798483365,0.2043705653808432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.1161835712480073,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
222,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.479999542236328,-0.4799995422363281,0.0,-13.915867355739223,0.4459796235999081,0.55,0.55,9.772727272727273e-05,0.3134071976074399,0.3302047464280289,1.0,3.0,0.0,-13.915867355739223,-11.9388012021479,35.064833714071355,-40.33768618492439,0.29597139378336107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.0310560883368753,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
223,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.290000915527344,-0.18999862670898438,0.0,-2.1855878023203075,0.4462966233405762,0.55,0.55,0.0,0.3134071976074399,0.3301535562785191,0.0,3.0,0.0,-2.1855878023203075,-0.8558992998037649,35.816536011984375,-40.16081505600368,0.021311801033176883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.0695963862707034,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
224,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.290000915527344,0.0,0.0,5.673390284231642,0.44360223207585636,0.55,0.55,0.0,0.3134071976074399,0.33058865534638654,0.0,0.0,0.0,5.673390284231642,7.274856414743449,35.87042596789795,-40.14813506637695,0.2028093120849483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.0652742293521964,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
225,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.459999084472656,0.1699981689453125,0.0,12.952818459830958,0.43806719525769056,0.55,0.55,0.0,0.3134071976074399,0.3314824711005162,0.0,0.0,0.0,12.952818459830958,14.94459940904773,35.41237945289558,-40.255910716965744,0.422016245164394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.156902715640571,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
226,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.81999969482422,0.3600006103515625,0.0,21.479099377709602,0.42921530424992477,0.55,0.55,0.0,0.3134071976074399,0.3329119032608612,0.0,0.0,0.0,21.479099377709602,23.900105720967662,34.4714231938074,-40.47731218969238,0.6933309827852187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.3021151742895913,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
227,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.190000534057617,-0.6299991607666016,0.0,-19.792324323667682,0.4357099737709427,0.55,0.55,0.0,0.3134071976074399,0.331863122895625,0.0,3.0,0.0,-19.792324323667682,-17.535607706748543,32.966601722487205,-40.83138783000301,0.42946391584229554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.1956546627476163,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
228,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.6200008392334,0.43000030517578125,0.0,24.17537457387975,0.425795720589745,0.55,0.55,0.0,0.3134071976074399,0.3334641087562251,0.0,0.0,0.0,24.17537457387975,26.768483589233778,34.07069554106026,-40.57160104916229,0.7856747026773718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.3579758639997739,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
229,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.979999542236328,0.3599987030029297,0.0,21.706429641018545,0.4168542589502578,0.55,0.55,0.0,0.3134071976074399,0.3349080050736064,0.0,0.0,0.0,21.706429641018545,24.141946426615476,32.38527250025665,-40.9681711764102,0.7454606542657363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.4999886353665222,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
230,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.6299991607666,-0.35000038146972656,0.0,-8.660517000938535,0.41942697716783717,0.55,0.55,0.0,0.3134071976074399,0.33449255416526524,0.0,3.0,0.0,-8.660517000938535,-6.946339187464318,30.86522402154382,-41.32582964198969,0.1680871079332523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.4519469009895918,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
231,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.6299991607666,0.0,0.0,5.88367428172847,0.41664921243542175,0.55,0.55,0.0,0.3134071976074399,0.33494111665195914,0.0,0.0,0.0,5.88367428172847,7.499964777521669,31.302586118532314,-41.222920913286515,0.23959569184225984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.4966125869442615,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
232,map_rule_zero_offset,C08_high_mass_stress_high_mass,high_mass_stress,suburban arterial congested normal seed44,data/drive_cycles/sumo/osm_custom_suburban_arterial/cfef57d4ffb59267.csv,19.600000381469727,-0.029998779296875,0.0,4.589641278655878,0.4143784792444601,0.55,0.55,0.0,0.3134071976074399,0.33530780203566707,0.0,0.0,0.0,4.589641278655878,6.130979615596451,30.830366114021693,-41.33403150258313,0.19886171941396677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-1.532396723934878,"C08_high_mass_stress_high_mass | High-mass stress | High mass | suburban arterial congested normal seed44 | SOC 0.55, mass 1.30, grade 0.0%",suburban arterial congested normal seed44,cfef57d4ffb59267,custom_suburban_arterial_congested_normal_seed44
