time_s,controller,case_id,split,profile_id,profile_path,speed_mps,accel_mps2,road_grade,P_dem_kw,SOC,SOC_ref_base,SOC_ref_adapted,fuel_rate_kgps,total_fuel_kg,SOC_corrected_fuel_kg,engine_on,EMS_mode,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_discharge_limit_kw,battery_charge_limit_kw,battery_limit_usage,constraint_flags,delta_P_eng_on_kw,delta_SOC_ref,raw_delta_P_eng_on_kw,raw_delta_SOC_ref,pre_gate_delta_P_eng_on_kw,pre_gate_delta_SOC_ref,confidence,distribution_confidence,safety_margin_confidence,stability_confidence,distribution_risk,top_ood_feature,top_ood_z,action_attenuation_ratio,fallback_active,direction_suppression_active,posthoc_step_reward,case_label,profile_label,profile_fingerprint,profile_name
11,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,3.630000114440918,1.630000114440918,0.0,10.27197305785054,0.5391161799947225,0.55,0.55,0.0,0.0,0.0017575546659240055,0.0,0.0,0.0,10.27197305785054,12.109853074112056,50.23215729154946,-35.383921354225265,0.24107770255268915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.010108720692190588,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
12,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,5.360000133514404,1.7300000190734863,0.0,16.09706888288289,0.5390352442147051,0.55,0.55,0.0030379281235844227,0.0030379281235844227,0.0048085525625973695,1.0,1.0,17.07661268335787,-0.9795438004749784,0.21852660604713414,49.6939415993667,-35.65302920031665,0.004397449649071891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.11618934508882553,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
13,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,7.010000228881836,1.6500000953674316,0.0,20.177451094412753,0.5389566496770611,0.55,0.55,0.0013167911626849858,0.004354719286269408,0.006138035426935379,1.0,1.0,21.1642791150893,-0.9868280206765476,0.2122052516386118,49.68422930576461,-35.6578853471177,0.004271078662258543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.03184095363680648,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
14,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,6.090000152587891,-0.9200000762939453,0.0,-8.272830138122686,0.541392223199078,0.55,0.55,9.772727272727273e-05,0.004452446558996681,0.00584245836297333,1.0,3.0,0.0,-8.272830138122686,-6.576048509445464,49.674797961247336,-35.66260101937633,0.18439621119818325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.007878023589634398,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
15,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,3.0,-3.0900001525878906,0.0,-14.54061881440073,0.5430569299251533,0.55,0.55,9.772727272727273e-05,0.004550173831723954,0.005671363377303271,1.0,3.0,0.0,-6.070744112470841,-4.494708160403277,49.96706678388936,-35.51646660805532,0.12655279620028007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.005894927477117088,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
16,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.36000001430511475,-2.6399999856948853,0.0,-1.4866037443236,0.5431407747135981,0.55,0.55,9.772727272727273e-05,0.004647901104451227,0.005755551120796036,1.0,3.0,0.0,-1.4866037443236,-0.22638092880083693,50.1668315910184,-35.4165842044908,0.006391946989967823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.004136163227382038,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
17,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,-0.36000001430511475,0.0,-0.0,0.5444335097563332,0.55,0.55,0.00031661657287086504,0.0049645176773220915,0.005863412632938149,1.0,1.0,5.0,-5.0,-3.490384615384616,50.17689296563178,-35.41155351718411,0.09856626633708239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.009105632576141734,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
18,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5457262447990683,0.55,0.55,0.00031661657287086504,0.0052811342501929565,0.005971274145080262,1.0,1.0,5.0,-5.0,-3.490384615384616,50.33202117075999,-35.33398941462001,0.09878263601733048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.008540262348792982,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
19,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5470189798418034,0.55,0.55,0.00031661657287086504,0.005597750823063821,0.006079135657222376,1.0,1.0,5.0,-5.0,-3.490384615384616,50.487149375888194,-35.2564253120559,0.09899995772376509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.008123440022841145,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
20,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5483117148845384,0.55,0.55,0.00031661657287086504,0.005914367395934686,0.00618699716936449,1.0,1.0,5.0,-5.0,-3.490384615384616,50.6422775810164,-35.1788612094918,0.09921823775361029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.007855165598286222,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
21,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5496044499272735,0.55,0.55,0.00031661657287086504,0.006230983968805551,0.006294858681506603,1.0,1.0,5.0,-5.0,-3.490384615384616,50.797405786144616,-35.10129710692769,0.09943748245975058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.007735439075128212,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
22,map_rule_zero_offset,C03_heldout_nominal,heldout_evaluation,suburban arterial congested normal seed46,data/drive_cycles/sumo/osm_custom_suburban_arterial/e85b8857ed7397c3.csv,0.0,0.0,0.0,0.0,0.5508971849700086,0.55,0.55,0.00031661657287086504,0.006547600541676416,0.006402720193648717,1.0,1.0,5.0,-5.0,-3.490384615384616,50.95253399127282,-35.023733004363585,0.0996576982513472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,-0.007764260453367116,"C03_heldout_nominal | Heldout | Nominal | suburban arterial congested normal seed46 | SOC 0.55, mass 1.00, grade 0.0%",suburban arterial congested normal seed46,e85b8857ed7397c3,custom_suburban_arterial_congested_normal_seed46
