split,metric,label,baseline_mean,adapter_mean,reduction_pct,delta_mean,delta_std,delta_min,delta_max,n,kind
meta_validation,abs_final_SOC_error,Abs final SOC error,0.05444315846369358,0.05424217636122825,0.36915952001454655,-0.00020098210246533542,0.0006119421433260696,-0.0012589273160986385,0.00032790503028709995,5,primary
meta_validation,SOC_RMSE,SOC RMSE,0.06097613981653294,0.06060849760059172,0.6029279928958966,-0.0003676422159412213,0.0004781629878891464,-0.00099186134903118,2.7703299450030922e-05,5,primary
meta_validation,constraint_violation_steps,Constraint steps,0.91875,0.903125,1.7006802721088436,-0.015625,0.061515686515717274,-0.109375,0.046875,5,primary
meta_validation,SOC_corrected_fuel_kg,SOC-corrected fuel,0.11175914315864806,0.11180673308854086,-0.04258258299747866,4.75899298928047e-05,5.5411408198627855e-05,-1.4326709949734538e-05,0.00011957175824208523,5,guardrail
meta_validation,engine_switch_count,Engine switches,10.88125,10.9125,-0.2871912693854107,0.03125,0.03125,0.0,0.0625,5,guardrail
heldout_evaluation,abs_final_SOC_error,Abs final SOC error,0.05423787568298425,0.05353432529557922,1.2971569747997154,-0.0007035503874050278,0.0013795158842128906,-0.00308849284822981,0.0003467873451951254,5,primary
heldout_evaluation,SOC_RMSE,SOC RMSE,0.06228447817863238,0.061944578331496344,0.5457215940080563,-0.0003398998471360336,0.00046680430658858235,-0.000893273455541288,0.00036691632459318795,5,primary
heldout_evaluation,constraint_violation_steps,Constraint steps,1.14375,1.11875,2.1857923497267873,-0.025,0.046351240544347895,-0.09375,0.03125,5,primary
heldout_evaluation,SOC_corrected_fuel_kg,SOC-corrected fuel,0.11185844998823627,0.11193574937628882,-0.0691046479373535,7.72993880525591e-05,9.193823178364622e-05,-7.306375921401918e-05,0.0001608793509694845,5,guardrail
heldout_evaluation,engine_switch_count,Engine switches,8.615625,8.646875,-0.36271309394269136,0.03125,0.09631896879639025,-0.09375,0.15625,5,guardrail
