step,split,metric,delta_mean,delta_std,n
80000,meta_validation,SOC_RMSE,0.00010738531304179369,0.00022674715089810208,5
80000,meta_validation,SOC_corrected_fuel_kg,2.2327784639004206e-05,0.00010145401878367948,5
80000,meta_validation,abs_final_SOC_error,-5.9267967784340514e-05,0.000303256893509826,5
80000,meta_validation,constraint_violation_steps,0.003125,0.023175620272173948,5
80000,meta_validation,engine_switch_count,0.00625,0.06774838558962125,5
90000,heldout_evaluation,SOC_RMSE,0.0003567005985704867,0.0016708647865700916,5
90000,heldout_evaluation,SOC_corrected_fuel_kg,-7.556365259436037e-05,0.00017394730651898108,5
90000,heldout_evaluation,abs_final_SOC_error,0.0008555436337271098,0.0018250296441173592,5
90000,heldout_evaluation,constraint_violation_steps,0.00625,0.04363825013677794,5
90000,heldout_evaluation,engine_switch_count,-0.04375,0.1067771847704368,5
90000,meta_validation,SOC_RMSE,-0.00010488651256521714,0.00034201974558094756,5
90000,meta_validation,SOC_corrected_fuel_kg,-7.3835620052428825e-06,3.9845206461770256e-05,5
90000,meta_validation,abs_final_SOC_error,0.00011164542379159259,0.0007184976617317948,5
90000,meta_validation,constraint_violation_steps,-0.003125,0.020372507516258277,5
90000,meta_validation,engine_switch_count,0.003125,0.03730417620722913,5
100000,heldout_evaluation,SOC_RMSE,-4.973618289330613e-05,0.00017735635709165205,5
100000,heldout_evaluation,SOC_corrected_fuel_kg,4.128426558012676e-05,0.00010922176552813367,5
100000,heldout_evaluation,abs_final_SOC_error,0.00036630320406655056,0.0011508018765978099,5
100000,heldout_evaluation,constraint_violation_steps,0.0,0.034938562148434216,5
100000,heldout_evaluation,engine_switch_count,0.034375,0.023175620272173948,5
100000,meta_validation,SOC_RMSE,-0.00011222682651826863,0.00028126596052261517,5
100000,meta_validation,SOC_corrected_fuel_kg,-7.164410845062185e-05,9.238797126263605e-05,5
100000,meta_validation,abs_final_SOC_error,-0.0003173514253112717,0.0005757304132995212,5
100000,meta_validation,constraint_violation_steps,0.0125,0.033874192794810624,5
100000,meta_validation,engine_switch_count,-0.00625,0.042216425269082175,5
110000,heldout_evaluation,SOC_RMSE,0.00015673803596376936,0.0004564261493969643,5
110000,heldout_evaluation,SOC_corrected_fuel_kg,-0.00010958120025766826,9.246632689868938e-05,5
110000,heldout_evaluation,abs_final_SOC_error,0.000694122024313715,0.0006180741468076851,5
110000,heldout_evaluation,constraint_violation_steps,0.053125,0.037629983058725926,5
110000,heldout_evaluation,engine_switch_count,-0.0375,0.1022214202112258,5
110000,meta_validation,SOC_RMSE,2.960527722692831e-05,0.00017765015317606434,5
110000,meta_validation,SOC_corrected_fuel_kg,-6.17789773278563e-06,4.1794320208586995e-05,5
110000,meta_validation,abs_final_SOC_error,0.0001050142834585887,0.0004412306696654545,5
110000,meta_validation,constraint_violation_steps,-0.0125,0.04044430970482745,5
110000,meta_validation,engine_switch_count,-0.003125,0.04044430970482745,5
120000,heldout_evaluation,SOC_RMSE,9.04744964071383e-05,0.0004562215435795947,5
120000,heldout_evaluation,SOC_corrected_fuel_kg,-6.883719444195728e-05,6.433583027668143e-05,5
120000,heldout_evaluation,abs_final_SOC_error,0.0003347113555738173,0.0005907965500173211,5
120000,heldout_evaluation,constraint_violation_steps,0.00625,0.03597145135381668,5
120000,heldout_evaluation,engine_switch_count,-0.0375,0.03423265984407288,5
120000,meta_validation,SOC_RMSE,-6.729552452258479e-05,0.00024422983239926084,5
120000,meta_validation,SOC_corrected_fuel_kg,1.52614746438741e-05,8.166319072228107e-05,5
120000,meta_validation,abs_final_SOC_error,2.2012485834646197e-05,0.0008441852811622623,5
120000,meta_validation,constraint_violation_steps,-0.009375,0.03240068961457456,5
120000,meta_validation,engine_switch_count,0.0,0.04555431167847891,5
130000,heldout_evaluation,SOC_RMSE,0.000490612295819203,0.0006871286057057034,5
130000,heldout_evaluation,SOC_corrected_fuel_kg,-8.35560774516054e-05,0.00013633955596900827,5
130000,heldout_evaluation,abs_final_SOC_error,0.00019538902562503958,0.0005432794311014661,5
130000,heldout_evaluation,constraint_violation_steps,0.01875,0.035630482034348064,5
130000,heldout_evaluation,engine_switch_count,-0.0625,0.06536406457297465,5
130000,meta_validation,SOC_RMSE,0.0004126647238450839,0.0009087871697021921,5
130000,meta_validation,SOC_corrected_fuel_kg,-1.6871708877723114e-05,0.00013799976541685203,5
130000,meta_validation,abs_final_SOC_error,0.00033405926456366085,0.0011656982109087626,5
130000,meta_validation,constraint_violation_steps,0.003125,0.06191128986299672,5
130000,meta_validation,engine_switch_count,-0.003125,0.07686483672655527,5
140000,heldout_evaluation,SOC_RMSE,-7.159197387974601e-05,0.0005839041707055353,5
140000,heldout_evaluation,SOC_corrected_fuel_kg,-2.317831269855906e-05,7.195429583515182e-05,5
140000,heldout_evaluation,abs_final_SOC_error,-9.597184160110468e-05,0.0004919656534492193,5
140000,heldout_evaluation,constraint_violation_steps,0.025,0.042216425269082175,5
140000,heldout_evaluation,engine_switch_count,0.05,0.04608712876172696,5
140000,meta_validation,SOC_RMSE,-0.00024063552162161068,0.00025129724377423695,5
140000,meta_validation,SOC_corrected_fuel_kg,7.610262365589103e-05,8.323991667802101e-05,5
140000,meta_validation,abs_final_SOC_error,-0.00038666912532037774,0.0009136732541956766,5
140000,meta_validation,constraint_violation_steps,-0.040625,0.04363825013677794,5
140000,meta_validation,engine_switch_count,0.01875,0.05229125165837972,5
150000,heldout_evaluation,SOC_RMSE,0.00022465359527993332,0.0005811441614919093,5
150000,heldout_evaluation,SOC_corrected_fuel_kg,-4.039088165124144e-05,7.285401759013465e-05,5
150000,heldout_evaluation,abs_final_SOC_error,0.00019334451510352092,0.0009196791545765543,5
150000,heldout_evaluation,constraint_violation_steps,-0.0375,0.042216425269082175,5
150000,heldout_evaluation,engine_switch_count,-0.046875,0.061515686515717274,5
150000,meta_validation,SOC_RMSE,0.00010883764529693885,0.0003566799788005188,5
150000,meta_validation,SOC_corrected_fuel_kg,1.3057899560491244e-05,7.441157627355729e-05,5
150000,meta_validation,abs_final_SOC_error,0.0001809432852933371,0.00037937154656157403,5
150000,meta_validation,constraint_violation_steps,0.028125,0.05783361101038046,5
150000,meta_validation,engine_switch_count,0.034375,0.04739297152532219,5
160000,heldout_evaluation,SOC_RMSE,9.487913936010058e-05,0.0002874515339567951,5
160000,heldout_evaluation,SOC_corrected_fuel_kg,-1.947378241047502e-05,3.668459276769008e-05,5
160000,heldout_evaluation,abs_final_SOC_error,-0.00025588229396815535,0.0002887694194360305,5
160000,heldout_evaluation,constraint_violation_steps,-0.021875,0.028384222069663984,5
160000,heldout_evaluation,engine_switch_count,-0.03125,0.03125,5
160000,meta_validation,SOC_RMSE,2.9571776175326836e-05,0.0005348178850900446,5
160000,meta_validation,SOC_corrected_fuel_kg,-4.0097150280957437e-05,7.532910221293175e-05,5
160000,meta_validation,abs_final_SOC_error,0.00013969196165873818,0.00066947925708057,5
160000,meta_validation,constraint_violation_steps,0.01875,0.04044430970482745,5
160000,meta_validation,engine_switch_count,-0.009375,0.10915155747858113,5
170000,heldout_evaluation,SOC_RMSE,3.986556818003762e-05,0.0006761158865174348,5
170000,heldout_evaluation,SOC_corrected_fuel_kg,1.7017590661656707e-05,0.00013338033360123144,5
