split,policy,episodes,episode_reward_mean,episode_reward_std,fuel_kg_mean,fuel_kg_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,final_SOC_error_mean,final_SOC_error_std,abs_final_SOC_error_mean,abs_final_SOC_error_std,SOC_RMSE_mean,SOC_RMSE_std,engine_switch_count_mean,engine_switch_count_std,battery_energy_throughput_kWh_mean,battery_energy_throughput_kWh_std,constraint_violation_steps_mean,constraint_violation_steps_std
heldout_evaluation,bounded_offset_dp_oracle,16,-19.538630878399665,21.727863264831612,0.1414768488950965,0.08901117089665958,0.14943925647804776,0.0882786440747203,-0.04930794621738704,0.04057814598372259,0.053410036806068754,0.03500324927813725,0.0674858326941015,0.022100133964289885,11.5,7.664854858377946,0.3433715871875541,0.14252462550078798,1.6875,2.591301555203485
heldout_evaluation,full_power_split_dp_oracle,16,-92.51775181904648,65.52702317129673,0.1349232151228583,0.0819549101488319,0.1358274432439972,0.08141330197419003,-0.005599516364978935,0.012843309143918945,0.008048475779892775,0.011468531331797385,0.028119503732071463,0.015063024145770753,5.0625,1.7488835724541527,0.6307359689438689,0.30343248991734445,11.25,8.073877630977572
heldout_evaluation,latent_sac_adapter,80,-24.09549847341651,26.534138296922922,0.13956054438701665,0.08520582203944241,0.14841193184845497,0.08512008762225096,-0.05481303642786981,0.04104877249600437,0.057866999901120444,0.036618042114720355,0.07026142712476262,0.026898451910008267,12.1125,7.385786603334814,0.3530714740519777,0.15037608970742328,2.2125,3.1886272516554826
heldout_evaluation,latent_sac_adapter_seed_mean,16,-24.095498473416512,26.441562988536052,0.1395605443870167,0.08520362226500369,0.148411931848455,0.08511892103557503,-0.054813036427869805,0.040944309391729675,0.057866999901120444,0.036500900762205746,0.07026142712476263,0.02681242884565338,12.1125,7.379013738298635,0.35307147405197775,0.1501079525596732,2.2125,3.1776317832624974
heldout_evaluation,map_rule_zero_offset,16,-24.91549337203582,26.810071711041477,0.1393488410707377,0.08525963998730487,0.14833823338755442,0.08503890012651882,-0.05566764427302824,0.04007345259359252,0.05803434445023055,0.036562044334409356,0.07111271785701359,0.027054778624313085,12.0625,7.28413301292611,0.35493657382041416,0.15340244496130748,2.3125,3.2349410736518833
meta_validation,bounded_offset_dp_oracle,16,-10.182171515948248,19.25161802079144,0.08901917483103328,0.06847290423114044,0.09912211899962743,0.06863167555519264,-0.06256341722181269,0.03027712844580534,0.06256341722181269,0.03027712844580534,0.05712820733574987,0.023808886318735508,9.75,6.398241946034863,0.31885615483372287,0.14703496789075274,0.625,2.1758618981911515
meta_validation,full_power_split_dp_oracle,16,-66.1955160114437,48.357023833196365,0.07890190728144132,0.05937977027374867,0.08042578265310696,0.06088863374745961,-0.009436739338610861,0.016222721418363676,0.01148059610803806,0.014846705108097978,0.03462317718532962,0.017822828854662055,5.0,2.0,0.5519186463821543,0.24762932954259076,7.9375,5.973574620777747
meta_validation,latent_sac_adapter,80,-10.41765639127685,20.629915076323154,0.09115993438559197,0.06859229972117434,0.100598061193518,0.0688040800361641,-0.05844647415871233,0.027602113096023128,0.05844647415871233,0.027602113096023128,0.05466871768970669,0.0230927719162991,11.05,6.503652819762137,0.3112726742455386,0.14501499670674936,0.6625,2.339571274827933
meta_validation,latent_sac_adapter_seed_mean,16,-10.417656391276852,20.48908388751419,0.09115993438559197,0.06858241007396151,0.10059806119351802,0.06880102413951973,-0.05844647415871232,0.027323615199350126,0.05844647415871232,0.027323615199350126,0.054668717689706686,0.02306925449411569,11.05,6.4851754024081725,0.3112726742455386,0.1449457368573707,0.6625,2.320257259443444
meta_validation,map_rule_zero_offset,16,-10.088151985629565,19.267033133483366,0.09092248669583795,0.06895516955899963,0.10058759265696529,0.06906926845613286,-0.05985206358149964,0.027383153448316773,0.05985206358149964,0.027383153448316773,0.05487748280833432,0.022874785366184085,11.0,6.576473218982953,0.3112406351712934,0.14301402369806998,0.625,2.1758618981911515
