split,controller_group,episodes,episode_reward_mean,episode_reward_std,SOC_tail_risk_mean,SOC_tail_risk_std,SOC_tail_violation_steps_mean,SOC_tail_violation_steps_std,SOC_RMSE_mean,SOC_RMSE_std,abs_final_SOC_error_mean,abs_final_SOC_error_std,constraint_violation_steps_mean,constraint_violation_steps_std,battery_limit_proximity_risk_mean,battery_limit_proximity_risk_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,engine_switch_count_mean,engine_switch_count_std,battery_energy_throughput_kWh_mean,battery_energy_throughput_kWh_std,raw_action_magnitude_mean_mean,raw_action_magnitude_mean_std,action_magnitude_mean_mean,action_magnitude_mean_std,raw_action_saturation_ratio_mean,raw_action_saturation_ratio_std,final_action_saturation_ratio_mean,final_action_saturation_ratio_std,confidence_mean_mean,confidence_mean_std,confidence_min_mean,confidence_min_std,confidence_p5_mean,confidence_p5_std,confidence_p50_mean,confidence_p50_std,confidence_p95_mean,confidence_p95_std,distribution_confidence_mean_mean,distribution_confidence_mean_std,safety_margin_confidence_mean_mean,safety_margin_confidence_mean_std,stability_confidence_mean_mean,stability_confidence_mean_std,distribution_risk_mean_mean,distribution_risk_mean_std,distribution_risk_max_mean,distribution_risk_max_std,action_attenuation_ratio_mean_mean,action_attenuation_ratio_mean_std,fallback_activation_ratio_mean,fallback_activation_ratio_std,direction_suppression_ratio_mean,direction_suppression_ratio_std
heldout_evaluation,baseline,64,-94.74841891429664,67.6500244387976,0.33538309646586245,0.2897528248936625,101.140625,61.13659582941607,0.061797279937095856,0.021965635701685995,0.05465836203336055,0.03826707530952686,0.90625,2.356631268887859,0.004460214331875147,0.011011058690531417,0.09941022428884276,0.08270237860617942,7.375,6.681364007446383,0.27336825272134857,0.17452703166254208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
heldout_evaluation,gate_current,320,-93.07198775919234,67.10676309073328,0.3264614795357689,0.2839865031633041,98.703125,60.436816099413896,0.061057751808244,0.021903945180378605,0.05332121382854682,0.03763098006440937,0.928125,2.492079249216405,0.004540933636306514,0.01142014375081141,0.09944039705568339,0.08258470574049459,7.4125,6.685700692522811,0.2726191270408846,0.17459273512164566,0.4926033495054365,0.13911811023350337,0.3860220482860614,0.13305098858800002,0.0019921875,0.013672935226747904,0.0,0.0,0.6076540143210372,0.18650308453027378,0.02702991124226342,0.09758605171967195,0.13359582808694073,0.19756750698063244,0.6622772225198793,0.2896805988215913,0.883649218980616,0.07319737254441873,0.8121681811551527,0.08027284734844424,0.7156894968004001,0.21453314064511467,0.9488493588430412,0.013224938654135276,1.587405695860896,0.40196789476169487,7.314795218282055,4.586410931684447,0.7521238031633277,0.09753509882151692,0.0081640625,0.033268550226761284,0.21920572916666664,0.18814157767071757
heldout_evaluation,gate_wider,320,-92.3669458502429,67.03376105279682,0.3244421138523913,0.283870664173264,97.66875,60.35910472693826,0.06081936926765846,0.02198946472036423,0.0531333422859213,0.03693511985281604,0.89375,2.4738554803181207,0.004431238649385364,0.011316486132697916,0.09953532311891375,0.08269369696231389,7.478125,6.83141797025881,0.2712909950810271,0.17337858999369027,0.45336644702660206,0.13848177702087844,0.35273773492064875,0.13232066058947672,0.0025911458333333333,0.007214046970117812,0.0,0.0,0.6113028450545475,0.18593684167483807,0.02762218137471938,0.10044985120117225,0.13441995684297234,0.19616680351651522,0.667095179107838,0.2893071742169372,0.8842146041460651,0.07240252239689397,0.8124829478512356,0.08024134152163394,0.7197983458272135,0.21315785823764655,0.9489837386460167,0.011457130331258244,1.5859727815833036,0.40191199916027015,7.309628101053162,4.591048246737707,0.7374598218123072,0.1123723350467222,0.0078125,0.032679957170939564,0.29994791666666665,0.21968376473630288
heldout_evaluation,old_no_gate,320,-94.66482930371137,69.69788476725314,0.3336918669040995,0.29514300390025805,99.503125,62.4884988636659,0.06131725691161623,0.0226575020427435,0.053292724632938174,0.03774282762138057,0.940625,2.5408363995690473,0.004598686537356035,0.011698583539347995,0.09947489028272125,0.08249701579280232,7.46875,6.724880923666976,0.2731661249201808,0.17342717407582037,0.5178468776698688,0.13936396805440182,0.5178468776698688,0.13936396805440182,0.0010937499999999999,0.0025296634259543522,0.0017708333333333332,0.006751575176291167,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
meta_validation,baseline,64,-100.18483491998097,67.08970980242394,0.3578344516639439,0.30738943020260484,107.59375,72.37137701424162,0.06360158778229191,0.02271678108812111,0.06177457817346542,0.03715734585466742,0.75,1.6007810593582121,0.003757141870134922,0.00711857337951206,0.1159423399839911,0.08329921046915252,11.828125,5.378065078108947,0.35103198757133336,0.1372207509636151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
meta_validation,gate_current,320,-92.79918361980083,62.03730780572663,0.3233447845930525,0.2805555830585716,99.784375,71.46957661032683,0.06103075494219031,0.021901621599681963,0.05710288194078972,0.034435297787406415,0.696875,1.4891239822039668,0.003537234236342051,0.006856024587072223,0.11648830113549893,0.08319795911029536,12.21875,5.334055533784777,0.3477548490294057,0.13533001257707564,0.556597996476376,0.1669949054455747,0.46280395568870647,0.1593039779662377,0.00375,0.030131727579819325,0.0,0.0,0.6241258136717499,0.20189875861612147,0.021887242182661772,0.10713641439538249,0.1366830072158077,0.23092239912647075,0.6728023958536726,0.30236772955624797,0.9125451590632305,0.08508392469767058,0.8567624833685461,0.06569912297343251,0.7058905171452979,0.23239627201333013,0.9481949534025237,0.01411199733275159,1.3382365888409538,0.34327762828890246,5.8196233120929035,4.8911604143284695,0.8009968460730452,0.09157424193964711,0.0036328124999999998,0.014808065431111045,0.19522135416666667,0.18309230380914007
meta_validation,gate_wider,320,-92.21890953605939,63.88388722602229,0.32325571625604066,0.28806579627868695,98.046875,71.63423362983913,0.0606024360393278,0.022571010862923936,0.05646705737208949,0.035114686435014676,0.690625,1.5435064332146466,0.003428910869456506,0.00691561953638881,0.11657600460986277,0.08314674436098608,12.309375,5.319883655623965,0.3455487557460244,0.1326511553608117,0.4982926089150864,0.1221688432750296,0.4070734040752873,0.12356171414966358,0.004140625,0.01135843645824731,0.0,0.0,0.6253297665289279,0.20735756047256296,0.021629103092240427,0.10676749920489344,0.1503475301457245,0.23921439267658468,0.6698169668293301,0.3072198837880211,0.9079837791869732,0.09808105254841049,0.8568176913691218,0.06525382540710424,0.7083864676504332,0.2384828238492819,0.9454675509790444,0.010551676353515668,1.3377856292626602,0.342077959452844,5.813958291712401,4.894434702312929,0.7772654341959987,0.09731879821899893,0.003580729166666667,0.01531404448524601,0.290859375,0.2340256641366698
meta_validation,old_no_gate,320,-99.5834307870168,69.63692164944452,0.355523816862164,0.3189466638485913,103.55625,73.62941386387305,0.06294311729942106,0.023592525203116114,0.05997533359458444,0.0367341602761719,0.721875,1.5951556301424008,0.0036126481031624907,0.00729540708997319,0.11627914288294802,0.08313058264563085,12.128125,5.3290908215543675,0.3479936835600041,0.13533091775879352,0.6083568977488458,0.13209600800086446,0.6083568977488458,0.13209600800086446,0.0015104166666666664,0.003592995089793163,0.0015885416666666665,0.006299661638703526,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stress_combined_low_soc_mass_uphill,baseline,32,-182.6247320599471,87.49331782646797,0.669955895921398,0.33031067773411654,159.25,71.02596356262968,0.0842779783690058,0.02206831824008974,0.05522293899308454,0.039764137648639904,4.375,6.142831187652807,0.018419963000561364,0.026802762178900763,0.20252055307885342,0.17364709987426769,7.34375,4.806306891730905,0.289919271812069,0.17482004710599955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stress_combined_low_soc_mass_uphill,gate_current,160,-181.24456102301127,87.69436684338694,0.6629110036103241,0.33106272791784297,157.5,71.31865113699222,0.08383546400385396,0.02218579891446821,0.05437380593181111,0.03974481509132221,4.375,6.149949186781953,0.018365178164137734,0.02675600725268446,0.20254968396241413,0.1736669957498734,7.33125,4.794165562170334,0.2903104802794038,0.17495596783655867,0.40995404738700253,0.10074582395238105,0.2190483842665122,0.09662545007930703,0.0023697916666666667,0.009112313705514552,0.0,0.0,0.328264120428385,0.17227842627864393,0.0,0.0,0.03689541239816465,0.11438696716537694,0.30932480688967195,0.2956362287035063,0.6496110981704373,0.1117027562663339,0.6028328377004633,0.10497580980892468,0.47342588934157226,0.25533139302778,0.9266421072348496,0.00954468561140841,2.5594770712215302,0.4819295469238894,9.230611011248993,5.066491427471319,0.4887343690926328,0.13424640755082012,0.060312500000000005,0.09804949988186239,0.5787239583333333,0.2744749552471823
stress_combined_low_soc_mass_uphill,gate_wider,160,-182.28612560993855,87.62450149648244,0.6682002289442854,0.3305753195993725,158.5,71.15353118433406,0.08416384971332631,0.022164466929617495,0.05479939156721332,0.03966835513185101,4.35,6.124948979379338,0.018349008809977415,0.026740786740718968,0.20250973575665757,0.17369190070884932,7.325,4.780886424084973,0.29007717948889933,0.17500820581784657,0.38110322928890517,0.08663892279730463,0.2068904235816777,0.08650653934639672,0.021249999999999998,0.062160885566764926,0.0,0.0,0.3257240498949317,0.17247641772573166,0.0,0.0,0.03875717458489018,0.11578062796570049,0.3007912813200533,0.29567782996443426,0.649652823967737,0.11143392850487698,0.6027683634979548,0.10498284923239784,0.46942539431401575,0.25567927521051803,0.9314194519645218,0.00956724509802172,2.559735196150407,0.481920776510259,9.230296419108267,5.066749069069461,0.4854114385098459,0.13482994434066248,0.059817708333333344,0.09777177541785449,0.5138802083333334,0.27065567966454873
stress_combined_low_soc_mass_uphill,old_no_gate,160,-185.0693478258016,88.02935869953166,0.6787205760734871,0.3306956358945384,159.9875,70.68300604636167,0.08475898639073429,0.022121204257807035,0.056035141013127676,0.04003125598555274,4.4,6.218118686548207,0.018420776305304358,0.02685457254993804,0.20236935515390653,0.17363962608837774,7.3125,4.815583427789409,0.2896054836219674,0.17456358689318233,0.6458166514671356,0.16678362523259985,0.6458166514671356,0.16678362523259985,0.001015625,0.0032856906129183016,0.000703125,0.006508906074751007,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
