case_id,split,condition,domain,weather,ems_variant,controller_group,baseline_group,metric,baseline_value,controller_mean,delta_mean,delta_std,improvement_pct,n
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,SOC_tail_risk,0.16761195831698783,0.12973148588503575,-0.037880472431952084,0.0,22.60010133663167,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,SOC_RMSE,0.051865095549103984,0.04764011552457916,-0.004224980024524823,0.0,8.14609513352726,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,SOC_MAE_to_ref,0.04495230422472451,0.04023023970987862,-0.004722064514845886,0.0,10.50461060069235,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,abs_final_SOC_error,0.05869108690243008,0.051506021206411234,-0.007185065696018844,0.0,12.242175218127285,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,time_in_SOC_band_0p03_pct,31.666666666666668,38.75,7.083333333333332,0.0,22.368421052631575,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,SOC_corrected_fuel_kg,0.05586363907844673,0.05602679590753558,0.00016315682908885076,0.0,-0.2920626578940501,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,conservative_soc_ref_rule,map_rule_zero_offset,engine_switch_count,2.0,2.0,0.0,0.0,-0.0,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,SOC_tail_risk,0.16761195831698783,0.15786575467416525,-0.009746203642822582,0.0,5.814742420937864,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,SOC_RMSE,0.051865095549103984,0.05074954569479394,-0.0011155498543100467,0.0,2.1508682139684576,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,SOC_MAE_to_ref,0.04495230422472451,0.04350359655834115,-0.0014487076663833587,0.0,3.2227661993499,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,abs_final_SOC_error,0.05869108690243008,0.05558718248274952,-0.0031039044196805587,0.0,5.288544791887374,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,time_in_SOC_band_0p03_pct,31.666666666666668,35.0,3.333333333333332,0.0,10.52631578947368,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,constraint_violation_steps,0.0,0.0,0.0,0.0,nan,1
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,fixed_retuned_calibration,map_rule_zero_offset,SOC_corrected_fuel_kg,0.05586363907844673,0.055999568278530906,0.0001359292000841783,0.0,-0.243323210457699,1
