reward,reward_version,confidence_gate_enabled,SOC,final_SOC_error,fuel_kg,SOC_corrected_fuel_kg,fuel_L_per_100km,distance_km,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,SOC_RMSE,SOC_tail_risk,SOC_tail_risk_sum,SOC_tail_violation_steps,SOC_critical_violation_steps,battery_limit_proximity_risk,battery_limit_proximity_risk_sum,battery_limit_usage_peak,battery_limit_violation_steps,constraint_violation_steps,action_magnitude_mean,action_rate_mean,raw_action_magnitude_mean,raw_action_rate_mean,raw_action_saturation_ratio,final_action_saturation_ratio,confidence_mean,confidence_min,confidence_p5,confidence_p50,confidence_p95,distribution_confidence_mean,distribution_confidence_min,safety_margin_confidence_mean,safety_margin_confidence_min,stability_confidence_mean,stability_confidence_min,distribution_risk_mean,distribution_risk_max,action_attenuation_ratio_mean,fallback_activation_ratio,direction_suppression_ratio,reward_fuel_cost_sum,reward_soc_tracking_sum,reward_soc_tail_sum,reward_battery_limit_sum,reward_constraint_sum,reward_engine_switch_sum,reward_battery_throughput_sum,reward_action_magnitude_sum,reward_action_rate_sum,reward_terminal_soc_sum,last_delta_P_eng_on_kw,last_delta_SOC_ref,episode_reward,steps,split,task_idx,task_key,profile_uid,source_family,source_id,profile_id,initial_SOC,mass_scale,grade_bias,start_idx,abs_final_SOC_error,controller_group,policy,seed
-0.0010569065951937587,robustness_v2,0.0,0.5521911770777439,0.0021911770777438555,0.20875715011019522,0.20840331170649257,10.93301313488732,2.5629799972623597,16.0,34.0,0.4212216241578086,0.054338614469582824,0.1706968816394609,40.967251593470614,78.0,0.0,0.0045251879213756025,1.0860451011301446,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.175143002203905,25.216110129680608,32.773801274776474,0.4344180404520579,4.0,0.8000000000000002,0.6065591387872398,0.0,0.0,0.0,0.0,0.0,-68.00603158590033,240,meta_validation,0,meta_validation:000,sumo_selected:f6197f7d2c047e73,sumo_selected,osm_custom_freeway_corridor,f6197f7d2c047e73,0.65,1.15,2.0,356,0.0021911770777438555,baseline,map_rule_zero_offset,baseline
-0.7637571710592266,robustness_v2,0.0,0.4852850491496398,-0.06471495085036022,0.02960554395646319,0.04005592477560031,2.719110568746883,1.4614699980653818,6.0,64.0,0.32668530452806355,0.052906475925268356,0.151318682607335,36.3164838257604,69.0,0.0,0.0,0.0,0.47193244182229216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5921108791292639,28.20626358566377,29.053187060608312,0.0,0.0,0.3,0.4704268385204097,0.0,0.0,0.3906310041946729,0.0,0.0,-59.01261936811644,240,meta_validation,1,meta_validation:001,sumo_selected:0fadd2f57d440ca3,sumo_selected,osm_custom_mixed_arterial,0fadd2f57d440ca3,0.55,1.0,-2.0,208,0.06471495085036022,baseline,map_rule_zero_offset,baseline
-0.16226319603152867,robustness_v2,0.0,0.5085039894821685,-0.04149601051783158,0.07562234661708803,0.08232325740645079,12.927800684352187,0.7851800008732821,14.0,32.0,0.2804657630734006,0.04791630139656456,0.13023584741067826,31.256603378562783,33.0,0.0,0.0058247802046121335,1.397947249106912,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.512446932341761,17.34276941054132,25.005282702850234,0.5591788996427649,4.0,0.7000000000000001,0.40387069882569543,0.0,0.0,0.05506594076087268,0.0,0.0,-49.57861458496264,240,meta_validation,2,meta_validation:002,sumo_selected:8c747fdfd72b839f,sumo_selected,osm_custom_urban_signalized,8c747fdfd72b839f,0.65,1.15,-2.0,40,0.04149601051783158,baseline,map_rule_zero_offset,baseline
-2.7018600369073056,robustness_v2,0.0,0.44585461657124836,-0.10414538342875168,0.21502739475729188,0.2318451301195903,11.33819560059143,2.5456200058683756,11.0,23.0,0.4141799641384852,0.05061906660243422,0.17891045456558005,42.938509095739214,37.0,17.0,0.020833333333333332,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.300547895145839,14.782405661767726,34.35080727659137,2.0,20.0,0.5499999999999999,0.5964191483594187,0.0,0.0,1.6243615028625504,0.0,0.0,-78.20454148472692,240,meta_validation,3,meta_validation:003,sumo_selected:4cf1c827db3f77d1,sumo_selected,osm_custom_freeway_corridor,4cf1c827db3f77d1,0.65,1.15,2.0,126,0.10414538342875168,baseline,map_rule_zero_offset,baseline
-2.6684722417644853,robustness_v2,0.0,0.4466553776331563,-0.10334462236684372,0.09339535441553364,0.11008378027620816,12.937213450663162,0.9690099982582026,11.0,32.0,0.253778147837669,0.058054377919905274,0.26639464284949993,63.93471428387998,63.0,34.0,0.0,0.0,0.6985567629378113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.8679070883106728,18.876725306261317,51.147771427104004,0.0,0.0,0.5499999999999999,0.365440532886244,0.0,0.0,1.6003386710053116,0.0,0.0,-74.40818302556752,240,meta_validation,4,meta_validation:004,sumo_selected:467b89c0434b8783,sumo_selected,osm_custom_urban_signalized,467b89c0434b8783,0.55,1.15,2.0,55,0.10334462236684372,baseline,map_rule_zero_offset,baseline
-0.3728163282198255,robustness_v2,0.0,0.5002111887230669,-0.04978881127693313,0.10533250165677448,0.11337256089407827,8.777317512344267,1.6108100004959844,16.0,41.0,0.2970205525015862,0.03508516661332115,0.04455070540883679,10.69216929812083,9.0,0.0,0.0002011711078232434,0.04828106587757842,0.8829594293373765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.1066500331354887,11.967437953286662,8.553735438496668,0.019312426351031368,0.0,0.8000000000000002,0.4277095956022841,0.0,0.0,0.163165438230865,0.0,0.0,-24.03801088510302,240,meta_validation,5,meta_validation:005,sumo_selected:3b0bb0ef554d6c76,sumo_selected,osm_custom_freeway_corridor,3b0bb0ef554d6c76,0.65,1.0,0.0,218,0.04978881127693313,baseline,map_rule_zero_offset,baseline
-0.0034197847990380405,robustness_v2,0.0,0.5536334484368847,0.003633448436884623,0.09436983155285947,0.09378309047752523,12.605701733875541,1.0048699985947456,8.0,17.0,0.2752961851703709,0.051676369335032744,0.17246220452807823,41.39092908673877,74.0,0.0,0.0,0.0,0.7903709195866829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.887396631057189,20.551520380610103,33.112743269391004,0.0,0.0,0.39999999999999997,0.39642650664533413,0.0,0.0,0.0,0.0,0.0,-56.348086787703664,240,meta_validation,6,meta_validation:006,sumo_selected:1259b73ed00d8872,sumo_selected,osm_custom_urban_signalized,1259b73ed00d8872,0.65,1.0,2.0,41,0.003633448436884623,baseline,map_rule_zero_offset,baseline
-1.6782121350312798,robustness_v2,0.0,0.46042849573699646,-0.08957150426300359,0.11466302963128344,0.12912732756849096,11.825594131253215,1.3014999938216059,14.0,46.0,0.30314225499928543,0.08818446594640071,0.6516506957617165,156.39616698281196,240.0,31.0,0.0,0.0,0.5723158190799096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.293260592625668,38.399999999999885,125.1169335862497,0.0,0.0,0.7000000000000001,0.4365248471989676,0.0,0.0,0.989864435889965,0.0,0.0,-167.93658346196423,240,meta_validation,7,meta_validation:007,sumo_selected:603b240baf8e489f,sumo_selected,osm_custom_freeway_corridor,603b240baf8e489f,0.45,1.0,2.0,87,0.08957150426300359,baseline,map_rule_zero_offset,baseline
-1.3201563947302772,robustness_v2,0.0,0.46671128616231483,-0.08328871383768521,0.08112452596609472,0.09457425846380704,16.81677489578935,0.6475200021248311,2.0,3.0,0.15507106606374052,0.08364198986205784,0.5929459200510342,142.3070208122482,160.0,81.0,0.0,0.0,0.8139528532960024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.622490519321894,33.168024490069975,113.8456166497985,0.0,0.0,0.1,0.22330233513178763,0.0,0.0,0.7563498226501808,0.0,0.0,-149.71578381697233,240,heldout_evaluation,0,heldout_evaluation:000,sumo_selected:5e31676b25d223bc,sumo_selected,osm_custom_suburban_arterial,5e31676b25d223bc,0.45,1.0,2.0,189,0.08328871383768521,baseline,map_rule_zero_offset,baseline
-3.6876546856943495,robustness_v2,0.0,0.42370153779083636,-0.1262984622091637,0.01855934549551168,0.038954432096273764,55.347418177422405,0.04501000040955841,3.0,18.0,0.1276000573178087,0.12758796355700763,1.5359713898534189,368.6331335648205,240.0,240.0,0.0,0.0,0.32389289213765965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.37118690991023356,38.399999999999885,294.9065068518567,0.0,0.0,0.15000000000000002,0.18374408253764513,0.0,0.0,2.2889538662749103,0.0,0.0,-336.30039171057916,240,heldout_evaluation,1,heldout_evaluation:001,sumo_selected:e1db93d75f4c1e59,sumo_selected,osm_custom_suburban_arterial,e1db93d75f4c1e59,0.45,1.15,0.0,946,0.1262984622091637,baseline,map_rule_zero_offset,baseline
-0.0029465135534501898,robustness_v2,0.0,0.5424603345596354,-0.007539665440364662,0.02137151795394774,0.02258904766022672,76.4772086000545,0.03751000043749809,2.0,8.0,0.1258269397669783,0.04047329714470154,0.08067763352992442,19.36263204718186,40.0,0.0,0.0,0.0,0.26560082475434155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4274303590789545,15.958147065421699,15.490105637745486,0.0,0.0,0.1,0.18119079326444895,0.0,0.0,0.0,0.0,0.0,-32.156873855510604,240,heldout_evaluation,2,heldout_evaluation:002,sumo_selected:e1db93d75f4c1e59,sumo_selected,osm_custom_suburban_arterial,e1db93d75f4c1e59,0.55,1.0,2.0,908,0.007539665440364662,baseline,map_rule_zero_offset,baseline
-1.2665460687457655,robustness_v2,0.0,0.46780453486723383,-0.08219546513276621,0.10121575792109722,0.11448894906095779,14.326244880015162,0.9483299977369605,8.0,60.0,0.2512592668850335,0.06056552597003815,0.22652110947162782,54.36506627319068,129.0,0.0,0.0033373674992855634,0.8009681998285352,0.9842452401247137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.024315158421945,29.324006663162873,43.492053018552525,0.3203872799314141,0.0,0.39999999999999997,0.3618133443144463,0.0,0.0,0.7213865665733253,0.0,0.0,-76.64396203095653,240,heldout_evaluation,3,heldout_evaluation:003,sumo_selected:1fed345b65c63d81,sumo_selected,osm_custom_suburban_arterial,1fed345b65c63d81,0.55,1.15,2.0,67,0.08219546513276621,baseline,map_rule_zero_offset,baseline
-1.4941641945470057,robustness_v2,0.0,0.4634714732566237,-0.08652852674337635,0.03547342187101342,0.04944632989775482,5.590950662887339,0.8516500008944416,4.0,17.0,0.23977456683398504,0.051921799752519884,0.1494178733329244,35.860289599901854,76.0,0.0,0.005531987320405996,1.3276769568974391,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7094684374202682,22.279790540648033,28.688231679921476,0.5310707827589757,4.0,0.2,0.3452753762409365,0.0,0.0,0.8698331703567428,0.0,0.0,-57.623669987346425,240,heldout_evaluation,4,heldout_evaluation:004,sumo_selected:3c98a08d6afa44ea,sumo_selected,osm_custom_suburban_arterial,3c98a08d6afa44ea,0.65,1.0,0.0,36,0.08652852674337635,baseline,map_rule_zero_offset,baseline
-3.054567775048014,robustness_v2,0.0,0.43780913045596265,-0.1121908695440374,0.1123846712398137,0.1305016178767097,9.20918084591581,1.6380599993467324,17.0,109.0,0.38868783732817136,0.1267304330825538,1.5179359622996806,364.30463095192334,240.0,235.0,0.00878681896817209,2.1088365523613013,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.247693424796273,38.399999999999885,291.4437047615387,0.8435346209445207,8.0,0.8500000000000002,0.5597104857525668,0.0,0.0,1.8657260863211216,0.0,0.0,-344.21036937935344,240,heldout_evaluation,5,heldout_evaluation:005,sumo_selected:df293e00ad8c0c28,sumo_selected,osm_custom_suburban_arterial,df293e00ad8c0c28,0.45,1.0,2.0,64,0.1121908695440374,baseline,map_rule_zero_offset,baseline
-0.036582719116204705,robustness_v2,0.0,0.5215370407733672,-0.02846295922663289,0.1602753611788152,0.16487165244148916,10.783046294115934,1.995119997853412,12.0,54.0,0.3531228112938113,0.03337366116433962,0.05495841536479868,13.190019687551683,17.0,0.0,0.0,0.0,0.7798386861705502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.2055072235763045,9.055748375818128,10.552015750041347,0.0,0.0,0.6,0.5084968482630878,0.0,0.0,0.0,0.0,0.0,-23.921768197698864,240,heldout_evaluation,6,heldout_evaluation:006,sumo_selected:1fdc1e7698e27d2d,sumo_selected,osm_custom_suburban_arterial,1fdc1e7698e27d2d,0.65,1.15,0.0,1,0.02846295922663289,baseline,map_rule_zero_offset,baseline
-0.14189787220593508,robustness_v2,0.0,0.5250762833859395,-0.024923716614060565,0.09677619467769792,0.1008009575280546,5.720441648787592,2.270819989586248,7.0,46.0,0.3615182098964015,0.011823545007817491,1.9407133852620405e-07,4.6577121246288974e-05,0.0,0.0,0.0,0.0,0.7846154423390187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.935523893553958,1.4911596432201153,3.7261696997031185e-05,0.0,0.0,0.35,0.5205862222508155,0.0,0.0,0.0,0.0,0.0,-4.297307020721888,240,heldout_evaluation,7,heldout_evaluation:007,sumo_selected:b9a1649afa22793a,sumo_selected,osm_custom_suburban_arterial,b9a1649afa22793a,0.55,1.0,-2.0,185,0.024923716614060565,baseline,map_rule_zero_offset,baseline
