reward,reward_version,SOC,final_SOC_error,fuel_kg,SOC_corrected_fuel_kg,fuel_L_per_100km,distance_km,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,SOC_RMSE,SOC_tail_risk,SOC_tail_risk_sum,SOC_tail_violation_steps,SOC_critical_violation_steps,battery_limit_proximity_risk,battery_limit_proximity_risk_sum,battery_limit_usage_peak,battery_limit_violation_steps,constraint_violation_steps,action_magnitude_mean,action_rate_mean,reward_fuel_cost_sum,reward_soc_tracking_sum,reward_soc_tail_sum,reward_battery_limit_sum,reward_constraint_sum,reward_engine_switch_sum,reward_battery_throughput_sum,reward_action_magnitude_sum,reward_action_rate_sum,reward_terminal_soc_sum,last_delta_P_eng_on_kw,last_delta_SOC_ref,episode_reward,steps,task_idx,profile_uid,source_family,source_id,profile_id,initial_SOC,mass_scale,grade_bias,start_idx,abs_final_SOC_error,split,controller_group,policy,seed
-1.650191473735021,robustness_v2,0.4612720387287263,-0.08872796127127375,0.09452008085695532,0.10884816072731651,7.2285073043023065,1.7551700014024978,13.0,66.0,0.3663119077002552,0.06252923772881126,0.280811504018075,67.39476096433799,97.0,22.0,0.0,0.0,0.8267064991641192,0.0,0.0,0.0,0.0,1.8904016171391056,24.755680100035487,53.91580877147039,0.0,0.0,0.65,0.527489147088367,0.0,0.0,0.9552860804089247,0.0,0.0,-82.69466571614225,240,0,sumo_selected:1d008007798e859d,sumo_selected,osm_custom_mixed_arterial,1d008007798e859d,0.65,1.15,2.0,89,0.08872796127127375,meta_validation,baseline,map_rule_zero_offset,baseline
-0.23050029447560352,robustness_v2,0.5052401938135948,-0.04475980618640529,0.056165549519882896,0.06339350865285505,7.053573052320725,1.0688199979830526,14.0,61.0,0.21991283016120497,0.029117116239087117,0.004923313954440612,1.181595349065747,0.0,0.0,0.0,0.0,0.44002047022963664,0.0,0.0,0.0,0.0,1.1233109903976577,9.043268886192111,0.9452762792525974,0.0,0.0,0.7000000000000001,0.31667447543213423,0.0,0.0,0.09077161610843668,0.0,0.0,-12.219302247382943,240,1,sumo_selected:626693d7512276b5,sumo_selected,osm_custom_urban_signalized,626693d7512276b5,0.55,1.0,-2.0,52,0.04475980618640529,meta_validation,baseline,map_rule_zero_offset,baseline
-0.14041045478547573,robustness_v2,0.5322194333716764,-0.017780566628323613,0.06755804080913907,0.07042930455892818,2.0534625748439064,4.41604999686405,9.0,123.0,0.7711724777474326,0.050675680918267726,0.15440150084403875,37.0563602025693,77.0,5.0,0.005169908533199543,1.2407780479678903,0.9842388498578591,0.0,0.0,0.0,0.0,1.351160816182781,20.26199565350322,29.64508816205544,0.4963112191871561,0.0,0.44999999999999996,1.1104883679563031,0.0,0.0,0.0,0.0,0.0,-53.3150442188849,240,2,sumo_selected:38b55a05416e3447,sumo_selected,osm_custom_freeway_corridor,38b55a05416e3447,0.65,1.15,-2.0,20,0.017780566628323613,meta_validation,baseline,map_rule_zero_offset,baseline
-0.03436607456963329,robustness_v2,0.5223633092100963,-0.027636690789903717,0.0,0.004462862747173447,0.0,0.11942999928444621,0.0,12.0,0.12024585185469222,0.0490709463585674,0.13954803933976914,33.49152944154459,77.0,0.0,0.0,0.0,0.5329038084257802,0.0,0.0,0.0,0.0,0.0,18.47776499488344,26.793223553235695,0.0,0.0,0.0,0.17315402667075783,0.0,0.0,0.0,0.0,0.0,-45.44414257478983,240,3,sumo_selected:109a9803888d56a9,sumo_selected,osm_custom_mixed_arterial,109a9803888d56a9,0.65,1.15,2.0,252,0.027636690789903717,meta_validation,baseline,map_rule_zero_offset,baseline
-2.109841978659519,robustness_v2,0.45445614673861384,-0.0955438532613862,0.28083443335920577,0.2962631656442382,13.20577929390202,2.854500007629394,24.0,59.0,0.47232455910954296,0.047606787551716885,0.17665902656010354,42.398166374424854,51.0,14.0,0.00718558218213879,1.7245397237133098,0.9718351355850252,0.0,0.0,0.0,0.0,5.616688667184113,12.494948901247916,33.91853309953987,0.6898158894853238,0.0,1.2000000000000004,0.6801473651177424,0.0,0.0,1.263303870468952,0.0,0.0,-55.86343779304391,240,4,sumo_selected:dd91eff60d5176e4,sumo_selected,osm_custom_freeway_corridor,dd91eff60d5176e4,0.55,1.15,2.0,220,0.0955438532613862,meta_validation,baseline,map_rule_zero_offset,baseline
-1.7328752178196716,robustness_v2,0.4600831772585374,-0.08991682274146262,0.05573161220221999,0.07025167329085331,4.364500185148116,1.7139999996311963,13.0,81.0,0.4373664388634649,0.05672936921431082,0.20438987371006875,49.0535696904165,99.0,1.0,0.0,0.0,0.5858516965237375,0.0,0.0,0.0,0.0,1.1146322440443996,26.92243875331244,39.242855752333206,0.0,0.0,0.65,0.6298076719633878,0.0,0.0,1.0043083239450667,0.0,0.0,-69.5640427455985,240,5,sumo_selected:79aa8752eedcaf65,sumo_selected,osm_custom_mixed_arterial,79aa8752eedcaf65,0.65,1.0,0.0,54,0.08991682274146262,meta_validation,baseline,map_rule_zero_offset,baseline
-1.6289377457505256,robustness_v2,0.4612116328525743,-0.08878836714742572,0.02087636307844078,0.03521419748621886,4.303457544655035,0.6511500014327465,4.0,37.0,0.18546493793251803,0.057573154683935375,0.22937304246148643,55.04953019075674,95.0,0.0,0.0,0.0,0.5171400100919668,0.0,0.0,0.0,0.0,0.4175272615688156,22.473494207490873,44.039624152605406,0.0,0.0,0.2,0.26706951062282624,0.0,0.0,0.957728964619908,0.0,0.0,-68.3554440969078,240,6,sumo_selected:dfd45ccda0e1a2d9,sumo_selected,osm_custom_mixed_arterial,dfd45ccda0e1a2d9,0.65,1.0,2.0,83,0.08878836714742572,meta_validation,baseline,map_rule_zero_offset,baseline
-0.010557680624448545,robustness_v2,0.5349013833949892,-0.015098616605010884,0.14153296823953818,0.14397114197360095,22.399530568447396,0.8481299998499452,14.0,27.0,0.29411015326971157,0.07051090033891118,0.38187082949440065,91.64899907865616,111.0,21.0,0.008333333333333333,2.0,1.0,2.0,2.0,0.0,0.0,2.8306593647907636,28.464137159678014,73.31919926292494,0.8,8.0,0.7000000000000001,0.4235186207083835,0.0,0.0,0.0,0.0,0.0,-114.5375144081021,240,7,sumo_selected:6268b609906560ed,sumo_selected,osm_custom_urban_signalized,6268b609906560ed,0.45,1.0,2.0,87,0.015098616605010884,meta_validation,baseline,map_rule_zero_offset,baseline
-0.044814192415656706,robustness_v2,0.5226918104820077,-0.0273081895179923,0.2728194077765293,0.27722922306950654,19.99959295135138,1.831040002873167,12.0,26.0,0.3896103457076453,0.06760643902725998,0.34276760443790766,82.26422506509783,151.0,14.0,9.57558041857171e-05,0.022981393004572106,0.8727394226532441,0.0,0.0,0.0,0.0,5.456388155530586,26.770378937830156,65.81138005207825,0.009192557201828842,0.0,0.6,0.5610388978190073,0.0,0.0,0.0,0.0,0.0,-99.2083786004598,240,8,sumo_selected:5c66ce166c09fa0a,sumo_selected,osm_custom_freeway_corridor,5c66ce166c09fa0a,0.45,1.0,2.0,379,0.0273081895179923,meta_validation,baseline,map_rule_zero_offset,baseline
-0.005270378525513714,robustness_v2,0.5395533011518443,-0.010446698848155744,0.03964171026908293,0.04132867718834253,98.95917732906354,0.05376999970152973,4.0,22.0,0.1735893067375061,0.10047697465275422,0.9343181054940362,224.23634531856868,164.0,144.0,0.0,0.0,0.27548341389727854,0.0,0.0,0.0,0.0,0.7928342053816574,28.674499134173026,179.38907625485487,0.0,0.0,0.2,0.24996860170200916,0.0,0.0,0.0,0.0,0.0,-209.30637819611164,240,9,sumo_selected:d30c8bd5b1d79762,sumo_selected,osm_custom_freeway_corridor,d30c8bd5b1d79762,0.45,1.15,0.0,946,0.010446698848155744,meta_validation,baseline,map_rule_zero_offset,baseline
