step,episode,episode_return,episode_steps,fuel_kg,SOC_corrected_fuel_kg,final_SOC_error,SOC_RMSE,engine_switch_count,constraint_violation_steps,q_loss,actor_loss,kl_z,q_mean
240,1,-1.984024335399186,240,0.0706371098704731,0.07677069006179114,-0.03798276325882877,0.07460119974798207,14.0,0.0,,,,
480,2,-2.4147788219317876,240,0.06528445553787295,0.08383057341445306,-0.11484855218385909,0.10596286813659445,8.0,0.0,,,,
720,3,-2.145381233030657,240,0.05289007108291676,0.0636338205733908,-0.06653166351137996,0.08771978376550445,12.0,0.0,,,,
960,4,-17.486942141029644,240,0.07823615485710504,0.09051122152418871,-0.07601448691616253,0.10357864328250951,12.0,3.0,,,,
1200,5,-1.175888042247816,240,0.1285269638656409,0.12935837719475135,-0.0051486040232322505,0.04337372608727735,12.0,0.0,0.006001592613756657,0.011416034772992134,9.32703971862793,-0.0783558040857315
1440,6,-0.9735988951897827,240,0.1500342864363116,0.1499044106989269,0.0008042675292858625,0.013914056462080524,16.0,0.0,0.0071533541195094585,-0.0038836034946143627,15.47712516784668,-0.05480537563562393
1680,7,-1.4250473453717534,240,0.053007155306279946,0.06265969701334852,-0.05977425827488386,0.0511573370862402,11.0,0.0,0.5982053875923157,-0.07242501527070999,28.680103302001953,0.006987876258790493
1920,8,-1.5286188515480637,240,0.10160940788561738,0.10903816198114306,-0.0460032475841442,0.0545792381052535,18.0,0.0,0.3902958631515503,-0.03245528042316437,187.87734985351562,-0.03283439949154854
2160,9,-1.0014377767474076,240,0.15727351246494742,0.16191186285466277,-0.02872341426520031,0.026944197192495033,11.0,0.0,0.2373846173286438,-0.063103586435318,26.462261199951172,0.0012314071645960212
2400,10,-2.0184704663569404,240,0.10280090295797499,0.10283560623378613,-0.00021490324872674993,0.07609775529143731,14.0,0.0,0.011331440880894661,-0.04799085482954979,20.701461791992188,-0.013826652429997921
2640,11,-0.634824869519912,240,0.1270572504318013,0.12902352286941227,-0.012176324132168626,0.00927948906818413,12.0,0.0,0.022237533703446388,-0.12395092844963074,15.361217498779297,0.06743139028549194
2880,12,-0.6611954802823159,240,0.0972746700860655,0.09924966260796987,-0.012230324061570763,0.015175183770467194,10.0,0.0,0.014106916263699532,-0.10766094923019409,13.020628929138184,0.04235120117664337
3120,13,-0.8177365527999548,240,0.12506988240443315,0.12534782496872043,-0.001721185064771591,0.016278317507363107,12.0,0.0,0.016141952946782112,-0.019172532483935356,8.656646728515625,-0.047673195600509644
3360,14,-0.7732776090241331,240,0.0,0.01117327299491835,-0.06919152758334624,0.033561185346485174,0.0,0.0,0.0037889673840254545,-0.04827767238020897,8.776651382446289,-0.01753712072968483
3600,15,-1.7394852706975732,240,0.19913943559316488,0.20710362988041267,-0.049319010549178866,0.05073179970442317,18.0,0.0,0.0025508489925414324,-0.09624405205249786,7.267294883728027,0.029656630009412766
3840,16,-12.038590351833511,240,0.14815147066341636,0.16252769268757142,-0.08902608601624912,0.06809481723326556,20.0,2.0,0.3902258574962616,-0.07606926560401917,7.539046287536621,0.01018492691218853
4080,17,-2.653172028074979,240,0.10011049002322331,0.12264713268843366,-0.1395602464304878,0.10239444975549215,18.0,0.0,0.009977790527045727,-0.040908537805080414,16.839771270751953,-0.025289833545684814
4320,18,-6.349849938371344,240,0.11903241643996533,0.12911392366008387,-0.062430666933474765,0.04833082357471472,12.0,1.0,0.40837332606315613,-0.06755240261554718,13.150089263916016,0.0037796837277710438
4560,19,-1.0929381694505893,240,0.05675597503720369,0.06358690244861286,-0.042301150488430084,0.040993307829067474,10.0,0.0,0.02303457073867321,-0.06713555753231049,4.572596549987793,0.0010198438540101051
4800,20,-2.043518811862897,240,0.1265915811850729,0.13927845192886218,-0.07856462179116902,0.07446661877384958,17.0,0.0,0.004160520154982805,-0.08267688751220703,5.675754547119141,0.01919594407081604
5040,21,-12.219464700267148,240,0.1878880552712504,0.19301595371172775,-0.03175498589806702,0.08702224902780706,11.0,2.0,0.02782510034739971,-0.0470714196562767,6.534334182739258,-0.015552809461951256
5280,22,-1.163420441625321,240,0.07133655770002638,0.07041256209726818,0.0057219283252285535,0.050830263274227475,10.0,0.0,0.11532079428434372,-0.038731325417757034,9.900314331054688,-0.02594924531877041
5520,23,-1.059331041178675,240,0.13056388880155217,0.13688439574845587,-0.03914032450082583,0.028679880693058466,14.0,0.0,0.0065080467611551285,-0.13221409916877747,24.768386840820312,0.06506195664405823
5760,24,-2.000124539547139,240,0.1108857361206101,0.12602685516851087,-0.09376278165959279,0.09483255237571185,2.0,0.0,0.35249385237693787,0.09667667746543884,4.063464164733887,-0.14000053703784943
6000,25,-6.05939083870771,240,0.09285642606868286,0.10881981893399331,-0.09885478841036693,0.03688967029501258,11.0,1.0,0.021000929176807404,-0.030394870787858963,4.904200077056885,-0.02879907563328743
