split,controller_group,policy,seed,task_idx,episode_reward_delta,SOC_tail_risk_delta,SOC_tail_violation_steps_delta,SOC_RMSE_delta,abs_final_SOC_error_delta,constraint_violation_steps_delta,battery_limit_proximity_risk_delta,battery_limit_usage_peak_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta,battery_energy_throughput_kWh_delta,action_magnitude_mean_delta,action_rate_mean_delta
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,0,-15.607224334118825,0.07984982392997542,8.0,0.005425859421210336,-0.015041846107806789,0.0,0.0,-0.0006654066299597305,0.0026971194562458722,2.0,-0.0014880853167609231,0.13883817429712508,0.015680126951580556
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,1,-0.04824396160922895,-6.625440819392914e-05,0.0,-4.486186415090729e-05,-4.892644281873082e-05,0.0,0.0,3.3415353476451415e-06,1.950402494302339e-06,0.0,3.669483211396485e-05,0.09865342413288695,0.012590574115165513
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,2,-0.18542814141218145,0.00025469102580305547,1.0,3.795097193123875e-05,0.0015505574322122184,0.0,-2.2742878472131918e-05,-0.00028876047548132,-3.34151322479298e-05,0.0,-0.0007927357639530008,0.16074322025602064,0.01716264844678032
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,3,-0.059125684624397934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07606897097988015,0.0030250177214232584
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,4,1.7740745143570962,-0.009063827603924574,0.0,-0.0008119107161552314,-0.002023562737412443,0.0,-0.0005319079957064789,-0.0017190358328584843,0.00014463022758914867,0.0,0.0011824255164762376,0.321637087394063,0.04621195286939228
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,5,-0.04245995352430043,-0.00017233653607973132,-1.0,-1.8165533310098014e-05,-8.513699464035573e-05,0.0,0.0,-6.5108328614060795e-06,3.5363817115358076e-06,0.0,2.8462710741583575e-05,0.09833687745170512,0.009594621052383446
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,6,0.08396792313331503,-0.0006049642115368292,0.0,-4.734440309786536e-05,-0.00010724807823769833,0.0,0.0,-0.00014776433189989113,4.749753140284585e-06,0.0,-8.496521606390917e-05,0.06286165760243118,0.0068262036193724885
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,7,0.07437778010491058,-0.001058941066397534,0.0,-5.812631495691334e-05,-0.0003352951868391685,0.0,0.0,0.0,5.0455646269848e-05,0.0,0.00030333484754968554,0.16106510954352818,0.018121018229673307
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,8,-14.274958527768106,0.06860102279461938,0.0,0.0045416322291313704,0.00203757730906573,0.0,-1.7472004310656295e-05,-0.0021789625580680427,0.000264476715753581,0.0,0.016940961376417596,0.3500591403322243,0.04933670817020659
meta_validation,old_adapter,old_adapter_seed_20260706,20260706,9,-0.0056351638279750205,-0.00026777977826275556,0.0,-1.8092635966582282e-05,-6.912870963637907e-05,0.0,0.0,-0.00020837344159413407,2.704182364698937e-07,0.0,5.184653222742308e-05,0.08373703551478684,0.0039046452089678495
