split,task_idx,task_key,policy,policy_seed,profile_uid,source_family,source_id,profile_id,start_idx,horizon,initial_SOC,mass_scale,grade_bias,steps,episode_reward,reward,SOC,final_SOC_error,fuel_kg,SOC_corrected_fuel_kg,fuel_L_per_100km,distance_km,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,SOC_RMSE,constraint_violation_steps,last_delta_P_eng_on_kw,last_delta_SOC_ref,abs_final_SOC_error,dp_objective_reward,dp_frontier_cap,dp_frontier_cap_hit,dp_expansions,full_dp_decision_interval_s
meta_validation,1,meta_validation:001,latent_sac_adapter,20260709,sumo_selected:2e98d5982f0a374b,sumo_selected,osm_custom_freeway_corridor,2e98d5982f0a374b,57,240,0.65,1.0,-2.0,240,-3.8614931280637155,-0.11413763212925779,0.5322441956523448,-0.017755804347655224,0.09867205441638395,0.10153931947252445,6.860694679800671,1.9304999975580717,10.0,41.0,0.38650617686078054,0.045227103046886485,0.0,-0.11181670054793358,0.0003504842892289162,0.017755804347655224,,,,,
meta_validation,1,meta_validation:001,latent_sac_adapter,20260710,sumo_selected:2e98d5982f0a374b,sumo_selected,osm_custom_freeway_corridor,2e98d5982f0a374b,57,240,0.65,1.0,-2.0,240,-3.874453304323968,-0.10882711407283283,0.5330915405342871,-0.016908459465712955,0.09885873452662605,0.10158916757431893,6.873674598448741,1.9304999975580717,10.0,41.0,0.38573894450567936,0.04531283860352254,0.0,-0.23170765489339828,0.00022839477285742761,0.016908459465712955,,,,,
meta_validation,2,meta_validation:002,map_rule_zero_offset,,sumo_selected:b4e27bf599e21596,sumo_selected,osm_custom_freeway_corridor,b4e27bf599e21596,171,240,0.45,1.0,2.0,240,-8.762233063200558,-0.5139828248700372,0.46896454750071004,-0.08103545249929,0.08204430944360343,0.09513017796920648,13.08196406448002,0.8418199997674668,9.0,16.0,0.24040937489001382,0.10150518086562932,0.0,0.0,0.0,0.08103545249929,,,,,
meta_validation,2,meta_validation:002,latent_sac_adapter,20260706,sumo_selected:b4e27bf599e21596,sumo_selected,osm_custom_freeway_corridor,b4e27bf599e21596,171,240,0.45,1.0,2.0,240,-8.647608046942812,-0.5346772349529925,0.4657207198045728,-0.08427928019542724,0.07907225080765977,0.0926819431837156,12.608069353967913,0.8418199997674668,7.0,16.0,0.24221329279090376,0.1019039498167985,0.0,-0.17298919335007668,0.0008660493046045303,0.08427928019542724,,,,,
meta_validation,2,meta_validation:002,latent_sac_adapter,20260707,sumo_selected:b4e27bf599e21596,sumo_selected,osm_custom_freeway_corridor,b4e27bf599e21596,171,240,0.45,1.0,2.0,240,-8.7756777230727,-0.5120921561091966,0.46929297078793225,-0.0807070292120678,0.08211618176201103,0.0951490154266392,13.093424104707255,0.8418199997674668,9.0,16.0,0.24065569235543033,0.1012882370163459,0.0,0.22863612323999405,0.0008714421093463897,0.0807070292120678,,,,,
meta_validation,2,meta_validation:002,latent_sac_adapter,20260708,sumo_selected:b4e27bf599e21596,sumo_selected,osm_custom_freeway_corridor,b4e27bf599e21596,171,240,0.45,1.0,2.0,240,-8.793089714460901,-0.5153507267966465,0.4687713473458035,-0.08122865265419654,0.0819952735366564,0.09511234065186756,13.074145289760597,0.8418199997674668,9.0,16.0,0.2402644747738338,0.10157021088906405,0.0,0.358707457780838,-0.0003571055084466934,0.08122865265419654,,,,,
meta_validation,2,meta_validation:002,latent_sac_adapter,20260709,sumo_selected:b4e27bf599e21596,sumo_selected,osm_custom_freeway_corridor,b4e27bf599e21596,171,240,0.45,1.0,2.0,240,-8.771780869982715,-0.5113673925128456,0.4694160876583191,-0.08058391234168094,0.0821356847456088,0.09514863709743526,13.096533855186069,0.8418199997674668,9.0,16.0,0.24074803000822056,0.10121734050570448,0.0,-0.49572649598121643,0.0005993488058447838,0.08058391234168094,,,,,
meta_validation,2,meta_validation:002,latent_sac_adapter,20260710,sumo_selected:b4e27bf599e21596,sumo_selected,osm_custom_freeway_corridor,b4e27bf599e21596,171,240,0.45,1.0,2.0,240,-8.79184224645207,-0.5140813531340539,0.46896944374679234,-0.08103055625320771,0.08205357863097512,0.09513865649483043,13.08344203628484,0.8418199997674668,9.0,16.0,0.2404130470745754,0.10146857272710694,0.0,0.11704063788056374,0.000708654522895813,0.08103055625320771,,,,,
meta_validation,3,meta_validation:003,map_rule_zero_offset,,sumo_selected:77f139ef9607a334,sumo_selected,osm_custom_urban_signalized,77f139ef9607a334,62,240,0.65,1.0,2.0,240,-3.1861499408732477,-0.2646221447943322,0.508029818286614,-0.04197018171338607,0.06302904992379496,0.06980653142057382,10.92113437544994,0.7746699991691858,10.0,21.0,0.2129906154380427,0.03138666675035859,0.0,0.0,0.0,0.04197018171338607,,,,,
meta_validation,3,meta_validation:003,latent_sac_adapter,20260706,sumo_selected:77f139ef9607a334,sumo_selected,osm_custom_urban_signalized,77f139ef9607a334,62,240,0.65,1.0,2.0,240,-3.201003029246749,-0.26364598785709265,0.5081887491526103,-0.04181125084738979,0.06306551571307051,0.06981733253651264,10.927452855345585,0.7746699991691858,10.0,21.0,0.2130062163843312,0.03134079118456706,0.0,-0.06904928013682365,-2.091091824695468e-05,0.04181125084738979,,,,,
