ems_variant,controller_group,n,episode_reward_mean,episode_reward_std,SOC_tail_risk_mean,SOC_tail_risk_std,SOC_tail_violation_steps_mean,SOC_tail_violation_steps_std,SOC_RMSE_mean,SOC_RMSE_std,SOC_MAE_to_ref_mean,SOC_MAE_to_ref_std,mean_signed_SOC_error_mean,mean_signed_SOC_error_std,time_in_SOC_band_0p03_pct_mean,time_in_SOC_band_0p03_pct_std,time_in_SOC_band_0p06_pct_mean,time_in_SOC_band_0p06_pct_std,abs_final_SOC_error_mean,abs_final_SOC_error_std,constraint_violation_steps_mean,constraint_violation_steps_std,battery_limit_proximity_risk_mean,battery_limit_proximity_risk_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,engine_switch_count_mean,engine_switch_count_std,confidence_mean_mean,confidence_mean_std,confidence_min_mean,confidence_min_std,confidence_p5_mean,confidence_p5_std,action_attenuation_ratio_mean_mean,action_attenuation_ratio_mean_std,fallback_activation_ratio_mean,fallback_activation_ratio_std,direction_suppression_ratio_mean,direction_suppression_ratio_std,safety_filter_checked_ratio_mean,safety_filter_checked_ratio_std,safety_filter_rejection_ratio_mean,safety_filter_rejection_ratio_std,residual_magnitude_mean_mean,residual_magnitude_mean_std,mean_abs_delta_P_eng_on_kw_mean,mean_abs_delta_P_eng_on_kw_std,mean_abs_delta_SOC_ref_mean,mean_abs_delta_SOC_ref_std,mean_abs_residual_delta_P_eng_on_kw_mean,mean_abs_residual_delta_P_eng_on_kw_std,mean_abs_residual_delta_SOC_ref_mean,mean_abs_residual_delta_SOC_ref_std
aggressive_engine_on,adaptive_rule_9knob_fitted,3,-0.7013489205307831,0.49770938438065754,0.06002686908906776,0.029284302283522485,29.0,21.64871050817269,0.03622998701013746,0.005859946014155079,0.029572473265403715,0.004853246745465837,-0.013074777023796896,0.022073373266002477,56.111111111111114,6.755770281675173,87.91666666666667,9.020296045071955,0.05622600487657573,0.029017144419772652,0.0,0.0,0.0,0.0,0.018017836848263677,0.007987369502368415,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9680809054946934,0.5363296498620638,0.004585260192688327,0.0010365866603121757,0.064142221814513,0.02494230428648428,0.0004970921290320501,0.0002550651226046518
aggressive_engine_on,adaptive_rule_9knob_hand,3,-0.6999825182778174,0.4997022228418788,0.06238025702480058,0.02618328511637425,29.0,21.64871050817269,0.036805671184230775,0.005088633062869378,0.030044070812023326,0.004221739241538127,-0.012257028278654117,0.023227439149996785,55.69444444444445,6.183285913764463,87.91666666666667,9.020296045071955,0.055089096501789246,0.030618308335917964,0.0,0.0,0.0,0.0,0.01801128535385976,0.007978118240195807,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830776309422369,0.6134951253693942,0.004265836631847205,0.001098573538507671,0.0,0.0,0.0,0.0
aggressive_engine_on,adaptive_rule_calibration,3,-0.7005270980658486,0.4986752378790182,0.06107923451688144,0.02789114720576189,29.0,21.64871050817269,0.03649467035019039,0.005503786137998027,0.029784447802256014,0.004568149706218568,-0.012687856504143802,0.02261939272472313,55.833333333333336,6.3737743919909775,87.91666666666667,9.020296045071955,0.05568494641281174,0.02977905403412679,0.0,0.0,0.0,0.0,0.017993651041782584,0.007953217266915174,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9393595859250484,0.575641772545477,0.0042531335504478775,0.0011163346757202123,0.0,0.0,0.0,0.0
aggressive_engine_on,global_static_tuned,3,-0.7002019529677685,0.5003137241616079,0.08223726097827573,0.010784551015232654,46.0,7.788880963698615,0.04125748914858701,0.002313650465806544,0.034628018720770225,0.0029098104383850952,-0.007121246874525931,0.030479592643457766,47.361111111111114,5.993180280664285,80.83333333333333,3.2453670682077598,0.054599060247635535,0.031308661221204,0.0,0.0,0.0,0.0,0.018220966018261068,0.008274220496634423,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6379361393399685,0.535680048685747,0.0061069449620941635,0.003545885223657624,0.7987685203552246,0.0,0.004268395304679872,0.0
aggressive_engine_on,map_rule_zero_offset,3,-0.7006644837884277,0.49848468724744166,0.06074942151171634,0.028326723297457702,29.0,21.64871050817269,0.03641314276661411,0.005613238427704962,0.02971874358748147,0.0046563219797880195,-0.012807771452757008,0.022450163524294773,55.833333333333336,6.3737743919909775,87.91666666666667,9.020296045071955,0.055810311512230926,0.029602501985996628,0.0,0.0,0.0,0.0,0.017984967655534524,0.007940955760233312,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggressive_engine_on,per_task_static_oracle,3,-0.6996736363383551,0.499859032927602,0.06277450129461797,0.02566936141807541,29.0,21.64871050817269,0.03691036287077345,0.004949839473927761,0.030157996411490053,0.004070878771852704,-0.012213416506007388,0.02328899392559175,55.416666666666664,5.803495115493384,87.91666666666667,9.020296045071955,0.05442788962968551,0.03154983034531503,0.0,0.0,0.0,0.0,0.01818656181417652,0.008225634190438095,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0632201867216722,0.4015535702636576,0.007202107752584644,0.003071108221559108,0.12165960669517517,0.17205266578129333,0.003191357056299846,0.004513260431394319
aggressive_engine_on,v3_meta_rl,15,-1.0190949722782983,0.71033841073567,0.06225304626158065,0.030181300791763184,31.866666666666667,19.592061884571738,0.03655231720491094,0.00660920538924216,0.030126794633243536,0.0052378781276098164,-0.013607201772100142,0.02229216696838935,56.13888888888891,9.964597828138537,86.72222222222223,8.163359118571561,0.05718725131922487,0.028719000653329795,0.0,0.0,0.0,0.0,0.018092884022909903,0.008099886523627337,0.6666666666666666,0.9428090415820635,0.7804610197327805,0.06729492720135556,0.21857296169781126,0.2828346585073935,0.5200136079664762,0.16045049271783915,0.792747926582717,0.07599573941190368,0.0,0.0,0.12472222222222219,0.08110159761559861,0.0,0.0,0.0,0.0,0.0,0.0,0.90570834805179,0.42147534363872835,0.0043733293253204195,0.001501316217569727,0.38588898696018276,0.14162224071322874,0.0035973187411792525,0.0013244895418803393
aggressive_engine_on,v3_meta_rl_floor085,15,-1.021250886601521,0.7073829351628874,0.06451653247868008,0.034532604804183145,32.93333333333333,21.380572697869642,0.03686987258932458,0.007494185872840852,0.030506581884489826,0.00634440075527773,-0.013448706989014524,0.02303923576518249,55.58333333333334,11.94392763739832,86.27777777777779,8.908571957445686,0.058554800906854165,0.02647878838792182,0.0,0.0,0.0,0.0,0.01818301799757459,0.0082305191473727,0.6666666666666666,0.9428090415820635,0.7793919213844492,0.07112017910028048,0.22467777564918753,0.2790134621633764,0.528958489042917,0.16540997816644337,0.8459277146232618,0.02648318285012317,0.0,0.0,0.12277777777777775,0.08367799097038305,0.0,0.0,0.0,0.0,0.0,0.0,0.8921403957810611,0.40318762501091093,0.004361809695665253,0.0016046559062861917,0.3896978344470779,0.1422538175797899,0.003572500011721988,0.0013302384639727407
aggressive_engine_on,v3_meta_rl_ungated,15,-1.02404105742569,0.7037294362455416,0.06617990494895964,0.038044975380769286,34.06666666666667,22.68175968090268,0.037036878102422593,0.007971330277242613,0.030700323728563725,0.006866189894807992,-0.013444161116551478,0.023384637552948794,55.19444444444446,12.781883398383687,85.80555555555557,9.450733200376114,0.05907872618787668,0.02582744857905283,0.0,0.0,0.0,0.0,0.018231138185515874,0.008300429121458995,0.6666666666666666,0.9428090415820635,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8776522225929646,0.37968027615474076,0.0043517538318568055,0.0019107911507934906,0.39032076042365393,0.14508415767961533,0.003547632008681022,0.001334493519946662
conservative_engine_on,adaptive_rule_9knob_fitted,3,-2.1519098946788344,1.5251174595163866,0.31516865070268657,0.18085068230614612,104.0,54.57105459856901,0.061932007562047364,0.017447135498674115,0.05611000192648119,0.017792577093195143,-0.035863712025677764,0.04638815005347717,24.166666666666668,19.445436482630054,56.666666666666664,22.737939416070418,0.07982761818590138,0.05215152958178103,0.0,0.0,0.0,0.0,0.024610779871922072,0.008176049040578283,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7016217549761972,1.1016268022951192,0.0073447323881906225,0.0023596596371828816,0.057008369801059826,0.04006311265709975,0.0007132168119359347,0.00024288892969048315
conservative_engine_on,adaptive_rule_9knob_hand,3,-2.151381542989235,1.5258705538817954,0.323806612778043,0.1688064843295309,111.33333333333333,44.22920101270452,0.06374676343568736,0.014895556401283538,0.058099690862346655,0.014989994644820521,-0.03372865708516968,0.04940616985461142,20.97222222222222,14.927809825049337,53.61111111111111,18.428833755293546,0.07857403160860055,0.05392204938587229,0.0,0.0,0.0,0.0,0.02463107611184689,0.008204711206509155,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.719415910940785,1.1883919543698098,0.006759910194263696,0.0024190790574022433,0.0,0.0,0.0,0.0
conservative_engine_on,adaptive_rule_calibration,3,-2.1511706814187352,1.525891735421446,0.3218582420501342,0.17152104105986624,110.0,46.10856753359401,0.06335884748330176,0.01544055886958223,0.057658655750795686,0.015610866464148498,-0.03417103693323012,0.04878082687887761,21.666666666666668,15.909902576697318,54.166666666666664,19.211903138997506,0.07798123386727984,0.05475934748596427,0.0,0.0,0.0,0.0,0.024613724293912505,0.008180207108754053,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6692274536481768,1.1533785177687552,0.006736049945703954,0.0024528193767672317,0.0,0.0,0.0,0.0
conservative_engine_on,global_static_tuned,3,-2.161695736509651,1.5122639579941632,0.36477961999817493,0.1121834516438724,128.0,20.83266665599966,0.06897920788815248,0.00759496484052148,0.0636300994563398,0.007246120415946751,-0.028180224769007067,0.05724988213469993,12.638888888888888,3.1426968052735447,46.666666666666664,8.680277773333192,0.08629068893489689,0.04302635600616355,0.0,0.0,0.0,0.0,0.02485632433320162,0.008522823251057885,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15343080410192,0.9365292584024831,0.008651325389991789,0.005700917027365025,0.7987685203552246,0.0,0.004268395304679872,0.0
conservative_engine_on,map_rule_zero_offset,3,-2.151160362114002,1.5259062802770358,0.32146838399921657,0.17206436457399585,109.66666666666667,46.578488120113505,0.06328052708902872,0.015550625760136055,0.057572110279682974,0.015732728186941672,-0.03426137659444028,0.0486531246655805,21.805555555555557,16.106321127026916,54.305555555555564,19.407703383380632,0.07788815975266865,0.054890813061369705,0.0,0.0,0.0,0.0,0.024606870933922692,0.008170528906891189,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conservative_engine_on,per_task_static_oracle,3,-2.1553264998411015,1.520034267804079,0.30417288374661205,0.19621316518783177,95.0,67.27555276621665,0.05953927051878396,0.020816956300280964,0.05394115175797195,0.020850973691482512,-0.038941861086647815,0.04203736874910377,27.63888888888889,24.355900240869968,60.416666666666664,28.03148031925694,0.08314140323960795,0.04747209452068948,0.0,0.0,0.0,0.0,0.02485188182204801,0.008516548895423765,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6957696572364636,1.1158445944150581,0.009090829136467306,0.0008782028682330786,0.0011810581975926955,0.0016702685209875128,0.002768139044443766,0.003914739779186874
conservative_engine_on,v3_meta_rl,15,-3.219985192734314,2.2813456013250804,0.3203631156518609,0.17444847731398072,107.8,51.098858434737394,0.06293897969973115,0.01638302776540768,0.05730303317094916,0.016487202414552943,-0.03476729569029841,0.04810610383547481,22.30555555555556,17.670378715540227,55.083333333333336,21.291191014473913,0.08015685318181141,0.05179344287556867,0.0,0.0,0.0,0.0,0.024757225026128097,0.00838504905662529,0.6666666666666666,0.9428090415820635,0.5841979115236646,0.11769303610007158,0.0038179590115960927,0.014285494538138653,0.05052912099244127,0.18906265880856213,0.6291510970911868,0.14071842949320934,0.0,0.0,0.4194444444444443,0.24266397027398973,0.0,0.0,0.0,0.0,0.0,0.0,1.5920484236179715,0.9184079837273706,0.0062285784958059495,0.0019033304300750701,0.39658171337958065,0.08815067614414697,0.003951895420200243,0.0019076759675313018
conservative_engine_on,v3_meta_rl_floor085,15,-3.231609738062832,2.2651972962546436,0.34225050412359226,0.15528728481724366,116.13333333333334,45.89824494344951,0.06539026697780986,0.014600988438051504,0.05984860862968739,0.01464516445944077,-0.03224747028864317,0.052127904217802314,18.944444444444446,15.898161629882765,51.611111111111114,19.124268726437297,0.0840427709729892,0.046722203877092534,0.0,0.0,0.0,0.0,0.02487271499800079,0.008551988778645703,0.6666666666666666,0.9428090415820635,0.5702253386664022,0.10698447570944063,0.0038179590115960927,0.014285494538138653,0.050649233896602114,0.18951208014366236,0.6589486514816395,0.12874816996788818,0.0,0.0,0.4355555555555554,0.22514844211687166,0.0,0.0,0.0,0.0,0.0,0.0,1.5775393610092878,0.8882634503608815,0.00633829431831959,0.0018206772645025246,0.40608312224794646,0.0844012360468981,0.003955873569396013,0.0018888059759055247
conservative_engine_on,v3_meta_rl_ungated,15,-3.2449679447612025,2.24721022822091,0.3466117314019702,0.15730351620842015,116.66666666666667,48.52307583911894,0.06543591048009607,0.015463634152436984,0.05992156375481883,0.015421946608667789,-0.032380100790760015,0.0522744928669678,19.444444444444446,17.62433783013187,51.38888888888889,20.21794826629956,0.08563288882432142,0.04454802168616668,0.0,0.0,0.0,0.0,0.02491054084006879,0.0086094627700227,0.6666666666666666,0.9428090415820635,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4605456134742694,0.7674499006046435,0.005083373820865531,0.00243641359725733,0.418584206335557,0.10161798867564208,0.003851357678180244,0.0018660281033267884
high_soc_ref,adaptive_rule_9knob_fitted,3,-2.4605294370210404,1.7386050844634393,0.4050101059757412,0.260509249543174,112.0,76.40680597957227,0.06645448536103803,0.024231460793912966,0.06125054360557173,0.024648172323482116,-0.04483632674049535,0.04784039461158947,20.13888888888889,28.480689797791495,53.333333333333336,31.83616915815511,0.08877098347666845,0.05364387163139243,0.0,0.0,0.0,0.0,0.026301252504647654,0.00828286874391362,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8421073508591619,1.1772030104328413,0.0077052038579522066,0.0028374277218567046,0.05506906225410704,0.03424646012115599,0.0007453988157471435,0.00015391621831919183
high_soc_ref,adaptive_rule_9knob_hand,3,-2.458245837558361,1.7418022486053848,0.4127340308161311,0.24965716110680744,119.66666666666667,65.57099629832962,0.06816391736239151,0.02182068442120653,0.06287710097331228,0.02235232514687353,-0.04265860636944497,0.05091880912145454,17.083333333333332,24.159481690540375,50.138888888888886,27.32124845763734,0.08586345111806093,0.05775086058775812,0.0,0.0,0.0,0.0,0.026319207803951878,0.008308225970381162,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.852947140316574,1.2626221350584985,0.007069691326313253,0.0028298472983565143,0.0,0.0,0.0,0.0
high_soc_ref,adaptive_rule_calibration,3,-2.4584360341066547,1.7412577216589877,0.4108040489996099,0.25236820339840216,117.66666666666667,68.39753081962989,0.06772979148320882,0.0224327859832482,0.06243490842171062,0.02297638130329705,-0.04318737259554867,0.050171332656219494,17.77777777777778,25.141574442188357,50.97222222222222,28.498971174845792,0.08654518177400734,0.05678782928448465,0.0,0.0,0.0,0.0,0.026296712591991542,0.008276457323303312,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8062912347539168,1.227226798651368,0.007045483437114694,0.0028640822774651793,0.0,0.0,0.0,0.0
high_soc_ref,global_static_tuned,3,-2.463987596724405,1.7346344706684218,0.4430015268949805,0.2072035455776679,136.0,42.49705872175156,0.07324393092669233,0.014669516649357228,0.06834632093316051,0.01464290402659429,-0.03709510298435603,0.05878399021752039,8.61111111111111,12.177950120434984,43.333333333333336,17.707107800729812,0.09074111700289811,0.05086143905785768,0.0,0.0,0.0,0.0,0.0265404297087484,0.008620661921232111,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2277337798354115,0.9743729073083842,0.009087871309201084,0.005904514348621891,0.7987685203552246,0.0,0.004268395304679872,0.0
high_soc_ref,map_rule_zero_offset,3,-2.4585478993891265,1.7410999267605354,0.4100359636222592,0.2534472413269639,117.0,69.33974329343886,0.06755851970264369,0.02267430035546084,0.06226691821802438,0.0232134803254376,-0.043400480035552864,0.04987008157393733,18.194444444444446,25.730830093177147,51.25,28.891559705599523,0.08676450408780141,0.056478016452361786,0.0,0.0,0.0,0.0,0.02628291706496044,0.008256974891805468,0.6666666666666666,0.9428090415820634,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
