case_id,split,condition,domain,weather,ems_variant,profile_uid,source_family,source_id,profile_id,profile_label,profile_path,start,horizon,initial_SOC,mass_scale,road_grade,accessory_load_kw,battery_derating_scale,friction_scale,controller_group,controller_label,seed_label,checkpoint_path,episode_reward,fuel_kg,SOC_corrected_fuel_kg,final_SOC,final_SOC_error,abs_final_SOC_error,SOC_RMSE,SOC_MAE_to_ref,mean_signed_SOC_error,time_in_SOC_band_0p03_pct,time_in_SOC_band_0p06_pct,SOC_tail_risk,SOC_tail_violation_steps,constraint_violation_steps,battery_limit_proximity_risk,battery_limit_usage_peak,battery_energy_throughput_kWh,engine_switch_count,confidence_mean,confidence_min,confidence_p5,action_attenuation_ratio_mean,fallback_activation_ratio,direction_suppression_ratio,safety_filter_checked_ratio,safety_filter_rejection_ratio,residual_magnitude_mean,mean_abs_delta_P_eng_on_kw,mean_abs_delta_SOC_ref,mean_abs_residual_delta_P_eng_on_kw,mean_abs_residual_delta_SOC_ref
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:a79d2e0bdf89d6b8,sumo_selected,osm_custom_mixed_arterial,a79d2e0bdf89d6b8,custom_mixed_arterial_normal_mild_seed45,data/drive_cycles/sumo/osm_custom_mixed_arterial/a79d2e0bdf89d6b8.csv,21,240,0.55,1.0,0.0,1.05,1.0,1.0,v3_meta_rl,V3 9-knob Meta-RL adapter,20260716_step_20000,results/meta_rl_paper/v3_full_9knob_pilot/20260714_153319/seed_20260716/checkpoints/policy_step_20000.pt,-0.4115689107955378,0.04797039630069191,0.05627177655380314,0.498592934136289,-0.05140706586371102,0.05140706586371102,0.047358702216538734,0.03990450683556897,-0.03990450683556897,39.583333333333336,77.91666666666667,0.12788304646639662,53.0,0.0,0.0,0.43073166988009853,0.2761109253848722,2.0,0.680926784802262,0.0,0.031223676807482337,0.7563952164760467,0.0,0.22083333333333333,0.0,0.0,0.0,1.4223743135569409,0.004645948379270905,0.49489136474827927,0.002716480134210239
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:a79d2e0bdf89d6b8,sumo_selected,osm_custom_mixed_arterial,a79d2e0bdf89d6b8,custom_mixed_arterial_normal_mild_seed45,data/drive_cycles/sumo/osm_custom_mixed_arterial/a79d2e0bdf89d6b8.csv,21,240,0.55,1.0,0.0,1.05,1.0,1.0,v3_meta_rl,V3 9-knob Meta-RL adapter,20260717_step_190000,results/meta_rl_paper/v3_full_9knob_pilot/20260714_153319/seed_20260717/checkpoints/policy_step_190000.pt,-1.6897533501458413,0.04184169247143414,0.05633328712127293,0.4602594583165539,-0.08974054168344614,0.08974054168344614,0.06030039194891067,0.053023114325609064,-0.053023114325609064,27.916666666666668,52.916666666666664,0.24392536344293264,113.0,0.0,0.0,0.4783538470316765,0.30287895168128914,2.0,0.5698341421783585,0.0,0.0,0.7414008864683339,0.0,0.35,0.0,0.0,0.0,2.109274732574312,0.009043704353565489,0.2992422606718416,0.0029905799602662837
C001_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:a79d2e0bdf89d6b8,sumo_selected,osm_custom_mixed_arterial,a79d2e0bdf89d6b8,custom_mixed_arterial_normal_mild_seed45,data/drive_cycles/sumo/osm_custom_mixed_arterial/a79d2e0bdf89d6b8.csv,21,240,0.55,1.0,0.0,1.05,1.0,1.0,v3_meta_rl,V3 9-knob Meta-RL adapter,20260718_step_150000,results/meta_rl_paper/v3_full_9knob_pilot/20260714_153319/seed_20260718/checkpoints/policy_step_150000.pt,-0.6194139415966267,0.04672329328721961,0.05595977024059094,0.4928022612369005,-0.057197738763099526,0.057197738763099526,0.049011464162140715,0.042153256577546164,-0.042153256577546164,36.25,77.91666666666667,0.14005027449966553,53.0,0.0,0.0,0.43073166988009853,0.2736027648241665,2.0,0.744765806928233,0.0,0.031223676807482337,0.8389246911586873,0.0,0.22083333333333333,0.0,0.0,0.0,1.456042550499215,0.007411543084067327,0.4561296886143585,0.0034049572881000743
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:480fb1914f5ffc35,sumo_selected,osm_custom_urban_signalized,480fb1914f5ffc35,custom_urban_signalized_dense_mild_seed45,data/drive_cycles/sumo/osm_custom_urban_signalized/480fb1914f5ffc35.csv,59,240,0.45,1.0,-2.0,1.05,1.0,1.0,map_rule_zero_offset,Baseline zero-offset EMS,,,-3.0083815508785197,0.06443414028903839,0.08250608769304818,0.43808779237220613,-0.11191220762779391,0.11191220762779391,0.08994901544401836,0.07548720564117858,-0.07204830568716289,27.916666666666668,33.333333333333336,0.7346441062170295,160.0,0.0,0.0,0.779001775846326,0.31454196163877113,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:480fb1914f5ffc35,sumo_selected,osm_custom_urban_signalized,480fb1914f5ffc35,custom_urban_signalized_dense_mild_seed45,data/drive_cycles/sumo/osm_custom_urban_signalized/480fb1914f5ffc35.csv,59,240,0.45,1.0,-2.0,1.05,1.0,1.0,fixed_retuned_calibration,Fixed retuned calibration,,,-2.902974103168216,0.06498072538822118,0.08268263936595441,0.44037925862677796,-0.10962074137322209,0.10962074137322209,0.08917076391091401,0.07500246343313187,-0.07046639597054896,27.916666666666668,36.666666666666664,0.7217209704476557,152.0,0.0,0.0,0.7776772559422154,0.3159716901337619,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9979166666666667,0.003985416666666668,0.0,0.0
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:480fb1914f5ffc35,sumo_selected,osm_custom_urban_signalized,480fb1914f5ffc35,custom_urban_signalized_dense_mild_seed45,data/drive_cycles/sumo/osm_custom_urban_signalized/480fb1914f5ffc35.csv,59,240,0.45,1.0,-2.0,1.05,1.0,1.0,conservative_soc_ref_rule,Conservative SOC-ref rule,,,-0.07252337544023685,0.07873726546858985,0.08426845037011575,0.5157476253505507,-0.0342523746494493,0.0342523746494493,0.06719844043702979,0.05484052119956143,-0.0501559676787503,36.25,53.333333333333336,0.3719060555033377,112.0,0.0,0.0,0.7593289598574928,0.3749612450314412,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.847933287743579,0.007353865669804278,0.0,0.0
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:480fb1914f5ffc35,sumo_selected,osm_custom_urban_signalized,480fb1914f5ffc35,custom_urban_signalized_dense_mild_seed45,data/drive_cycles/sumo/osm_custom_urban_signalized/480fb1914f5ffc35.csv,59,240,0.45,1.0,-2.0,1.05,1.0,1.0,adaptive_rule_calibration,Rule-based adaptive calibration,,,-0.08704525350078177,0.07841270822675972,0.08419547645564343,0.514189672301135,-0.03581032769886505,0.03581032769886505,0.06782146630037088,0.055697464173531275,-0.051419497836795655,37.916666666666664,53.333333333333336,0.38031503412637485,112.0,0.0,0.0,0.7606608651111264,0.3737927802443794,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8686853908609522,0.00649959919920924,0.0,0.0
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:480fb1914f5ffc35,sumo_selected,osm_custom_urban_signalized,480fb1914f5ffc35,custom_urban_signalized_dense_mild_seed45,data/drive_cycles/sumo/osm_custom_urban_signalized/480fb1914f5ffc35.csv,59,240,0.45,1.0,-2.0,1.05,1.0,1.0,adaptive_rule_9knob_hand,Adaptive 9-knob rule (hand),,,-3.181652542132802,0.06236801865368664,0.08104753591894831,0.43432535974993514,-0.11567464025006491,0.11567464025006491,0.07158557611933926,0.05874420665550186,-0.050453693256904616,33.75,48.75,0.4456333067909844,123.0,0.0,0.0,0.7521865785352131,0.3241664160076011,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8343036027246602,0.006497059944368651,0.0,0.0
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:480fb1914f5ffc35,sumo_selected,osm_custom_urban_signalized,480fb1914f5ffc35,custom_urban_signalized_dense_mild_seed45,data/drive_cycles/sumo/osm_custom_urban_signalized/480fb1914f5ffc35.csv,59,240,0.45,1.0,-2.0,1.05,1.0,1.0,adaptive_rule_9knob_fitted,Adaptive 9-knob rule (fitted),,,-0.0503192703993538,0.0796161218847744,0.08457406546806624,0.5192974752916151,-0.03070252470838497,0.03070252470838497,0.06657623999240972,0.05397166045661282,-0.04958908179930261,39.166666666666664,55.0,0.36624660484564764,108.0,0.0,0.0,0.7337410526578901,0.3776236324872397,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.803042141488156,0.007127868567046606,0.04269374367625763,0.0009445820741044978
C002_meta_validation_nominal_nominal,meta_validation,nominal,sumo_selected,,nominal,sumo_selected:480fb1914f5ffc35,sumo_selected,osm_custom_urban_signalized,480fb1914f5ffc35,custom_urban_signalized_dense_mild_seed45,data/drive_cycles/sumo/osm_custom_urban_signalized/480fb1914f5ffc35.csv,59,240,0.45,1.0,-2.0,1.05,1.0,1.0,per_task_static_oracle,Per-task static 9-knob oracle,,,-0.024109451013886618,0.08196640002199466,0.08497198141132283,0.5313876589520123,-0.0186123410479877,0.0186123410479877,0.06233181863843784,0.048783119971903384,-0.04203713857288538,41.666666666666664,58.75,0.3161174513326622,99.0,0.0,0.0,0.8224272440382996,0.3866912702325377,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.443225044526908,0.006978309157019672,0.09269799292087555,0.0017369824647903438
