split,policy,delta_P_eng_on_bound_kw,delta_SOC_ref_bound,bound_policy,episodes,episode_reward_mean,episode_reward_std,fuel_kg_mean,fuel_kg_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,final_SOC_error_mean,final_SOC_error_std,abs_final_SOC_error_mean,abs_final_SOC_error_std,SOC_RMSE_mean,SOC_RMSE_std,engine_switch_count_mean,engine_switch_count_std,battery_energy_throughput_kWh_mean,battery_energy_throughput_kWh_std,constraint_violation_steps_mean,constraint_violation_steps_std,authority_norm,primary_reduction_score,selection_feasible,pareto_efficient,selection_label
heldout_evaluation,bounded_offset_dp_bound_sweep,1.0,0.005,bounded_offset_dp_p1_soc0.005,16,-23.10870009446579,26.548402941430247,0.1392690758587468,0.08567415754015885,0.1479656083088834,0.08545483420465613,-0.05385408243195711,0.04024475372666709,0.057644532059349135,0.03459783693768709,0.06833533335636474,0.024356248585005985,11.75,7.644442425710328,0.35162081840133774,0.14897932903526442,2.125,3.179524335494226,0.19642857142857142,2.2886506482853015,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,1.0,0.01,bounded_offset_dp_p1_soc0.01,16,-22.603449757452278,25.98951258771496,0.13939528980649502,0.08580686325349018,0.14800604864182887,0.0854918922805504,-0.053322921380289476,0.03991873790541158,0.05709986613690196,0.03429934208752921,0.06816302840554006,0.024255967089999667,11.75,7.644442425710328,0.35210382602766965,0.14924122083518376,2.0625,3.1118473211261506,0.3214285714285714,2.8790615464962173,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,1.0,0.015,bounded_offset_dp_p1_soc0.015,16,-22.548105235974703,25.978395823470688,0.13983391011951074,0.08589499345852084,0.1481488723676146,0.08560263687793677,-0.05149117362529504,0.04010806704255254,0.05504331855514395,0.035074650185527356,0.0674458572023631,0.02406274536219489,11.75,7.644442425710328,0.3535837585467104,0.14952159242950697,2.0625,3.1118473211261506,0.4464285714285714,5.155147816173106,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,1.0,0.02,bounded_offset_dp_p1_soc0.02,16,-21.913748624328043,25.963152501702222,0.14108623990389307,0.08627777011600798,0.1484919930770905,0.08586219020404447,-0.045860812242911456,0.04064408180945739,0.04931070208392323,0.03638145332039405,0.06563338976741295,0.02332869772440394,11.75,7.644442425710328,0.355986633438442,0.1522210366252149,2.0,3.122498999199199,0.5714285714285714,11.368496338999378,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,2.0,0.005,bounded_offset_dp_p2_soc0.005,16,-22.6462733921381,26.793219314008066,0.13933519708619949,0.08608764148003403,0.1478061680037844,0.08569185220195993,-0.0524572717563036,0.0416949434850617,0.0568219712962061,0.03551756256206648,0.06885259985617119,0.023046527850879652,11.5,7.729812416870153,0.3497036031044086,0.14776178042202734,2.0625,3.2106998847603307,0.26785714285714285,2.6336403199489506,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,2.0,0.01,bounded_offset_dp_p2_soc0.01,16,-22.1422460288662,26.227610401105167,0.13942217931680856,0.08622466134150922,0.1478414023294609,0.08573647603015393,-0.052136818063535983,0.04130869646158234,0.05627849183272203,0.03545966099922047,0.06873484040995853,0.022997376911864518,11.5,7.729812416870153,0.3502436447822414,0.14804710389817144,2.0,3.142451272494134,0.39285714285714285,3.1846775726179883,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,2.0,0.015,bounded_offset_dp_p2_soc0.015,16,-22.09841223246978,26.207494793417748,0.13960101024422222,0.08643401468522142,0.14798664068169493,0.08585635570128958,-0.051928792931312556,0.04011901129881325,0.05587276058292416,0.03441466588157843,0.06798941236424773,0.02259154977410186,11.5,7.729812416870153,0.35330922515943286,0.147632094110379,2.0,3.142451272494134,0.5178571428571428,4.058356152456723,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,2.0,0.02,bounded_offset_dp_p2_soc0.02,16,-20.542806772915494,22.81296387544587,0.14081476850408278,0.08778909286373096,0.14888308483560908,0.08695164999685162,-0.04996379594930363,0.03933419641629708,0.05387829100305057,0.033774097648495184,0.06725350545689324,0.022483587329290265,11.375,7.606535019310698,0.3552834028108923,0.14729506688558494,1.8125,2.7207248574598646,0.6428571428571428,6.294131817850539,False,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,3.0,0.005,bounded_offset_dp_p3_soc0.005,16,-19.586490166072583,21.70291771606343,0.1411413288647762,0.08897008907494204,0.14927311156607703,0.08829909380363053,-0.05035681732064797,0.04062116244299238,0.05455426442423048,0.03478103106603119,0.06815736674697224,0.021996155509023025,11.375,7.639330795298761,0.344330871488814,0.14165334847585018,1.6875,2.591301555203485,0.3392857142857143,5.0762278599149395,True,True,
heldout_evaluation,bounded_offset_dp_bound_sweep,3.0,0.01,bounded_offset_dp_p3_soc0.01,16,-19.538630878399665,21.727863264831612,0.1414768488950965,0.08901117089665958,0.1494392564780478,0.08827864407472029,-0.04930794621738704,0.04057814598372259,0.053410036806068754,0.03500324927813725,0.0674858326941015,0.022100133964289885,11.5,7.664854858377946,0.3433715871875541,0.14252462550078798,1.6875,2.591301555203485,0.4642857142857143,6.534208942819939,True,True,
