split,oracle_policy,metric,baseline_mean,adapter_mean,dp_oracle_mean,adapter_improvement,dp_improvement,adapter_gap_to_dp,adapter_improvement_pct,dp_improvement_pct,capture_ratio_pct
meta_validation,full_power_split_dp_oracle,episode_reward,-10.088151985629565,-10.417656391276852,-62.339288852067114,-0.32950440564728645,-52.25113686643755,-51.92163246079026,-3.2662514018093796,-517.9455755709131,nan
meta_validation,full_power_split_dp_oracle,SOC_corrected_fuel_kg,0.10058759265696529,0.10059806119351802,0.08111912938225822,-1.0468536552732388e-05,0.019468463274707068,0.0194789318112598,-0.010407383531320136,19.354736265635196,-0.05377176618933681
meta_validation,full_power_split_dp_oracle,abs_final_SOC_error,0.05985206358149964,0.05844647415871232,0.006435027782435106,0.0014055894227873178,0.05341703579906453,0.052011446376277214,2.3484393664611884,89.24844458592037,2.631350470427888
meta_validation,full_power_split_dp_oracle,SOC_RMSE,0.05487748280833432,0.054668717689706686,0.03525768295238847,0.00020876511862763514,0.01961979985594585,0.019411034737318214,0.3804203617661736,35.75200401313991,1.0640532531445173
meta_validation,full_power_split_dp_oracle,engine_switch_count,11.0,11.05,6.875,-0.05000000000000071,4.125,4.175000000000001,-0.454545454545461,37.5,-1.2121212121212293
meta_validation,full_power_split_dp_oracle,constraint_violation_steps,0.625,0.6625,7.4375,-0.03749999999999998,-6.8125,-6.775,-5.9999999999999964,-1090.0,nan
heldout_evaluation,full_power_split_dp_oracle,episode_reward,-24.91549337203582,-24.095498473416512,-83.63531741129648,0.8199948986193064,-58.719824039260665,-59.53981893787997,3.2911043998817093,-235.67594332755823,nan
heldout_evaluation,full_power_split_dp_oracle,SOC_corrected_fuel_kg,0.14833823338755442,0.148411931848455,0.13216425545979338,-7.369846090057863e-05,0.01617397792776104,0.01624767638866162,-0.04968271444087585,10.903445159350293,-0.4556606991164646
heldout_evaluation,full_power_split_dp_oracle,abs_final_SOC_error,0.05803434445023055,0.057866999901120444,0.012878495000915167,0.00016734454911010443,0.04515584944931538,0.04498850490020528,0.2883543368937626,77.8088386748995,0.37059329223324267
heldout_evaluation,full_power_split_dp_oracle,SOC_RMSE,0.07111271785701359,0.07026142712476263,0.029400021268724603,0.0008512907322509589,0.04171269658828899,0.04086140585603803,1.1971005439036235,58.657154226844135,2.0408432009403157
heldout_evaluation,full_power_split_dp_oracle,engine_switch_count,12.0625,12.1125,7.1875,-0.05000000000000071,4.875,4.925000000000001,-0.41450777202073125,40.41450777202073,-1.0256410256410402
heldout_evaluation,full_power_split_dp_oracle,constraint_violation_steps,2.3125,2.2125,10.125,0.10000000000000009,-7.8125,-7.9125,4.324324324324328,-337.83783783783787,nan
