domain,controller_group,n,episode_reward_mean,episode_reward_std,SOC_tail_risk_mean,SOC_tail_risk_std,SOC_tail_violation_steps_mean,SOC_tail_violation_steps_std,SOC_RMSE_mean,SOC_RMSE_std,SOC_MAE_to_ref_mean,SOC_MAE_to_ref_std,mean_signed_SOC_error_mean,mean_signed_SOC_error_std,time_in_SOC_band_0p03_pct_mean,time_in_SOC_band_0p03_pct_std,time_in_SOC_band_0p06_pct_mean,time_in_SOC_band_0p06_pct_std,abs_final_SOC_error_mean,abs_final_SOC_error_std,constraint_violation_steps_mean,constraint_violation_steps_std,battery_limit_proximity_risk_mean,battery_limit_proximity_risk_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,engine_switch_count_mean,engine_switch_count_std,confidence_mean_mean,confidence_mean_std,confidence_min_mean,confidence_min_std,confidence_p5_mean,confidence_p5_std,action_attenuation_ratio_mean_mean,action_attenuation_ratio_mean_std,fallback_activation_ratio_mean,fallback_activation_ratio_std,direction_suppression_ratio_mean,direction_suppression_ratio_std,safety_filter_checked_ratio_mean,safety_filter_checked_ratio_std,safety_filter_rejection_ratio_mean,safety_filter_rejection_ratio_std,residual_magnitude_mean_mean,residual_magnitude_mean_std,mean_abs_delta_P_eng_on_kw_mean,mean_abs_delta_P_eng_on_kw_std,mean_abs_delta_SOC_ref_mean,mean_abs_delta_SOC_ref_std,mean_abs_residual_delta_P_eng_on_kw_mean,mean_abs_residual_delta_P_eng_on_kw_std,mean_abs_residual_delta_SOC_ref_mean,mean_abs_residual_delta_SOC_ref_std
sumo_arterial_mixed,adaptive_rule_9knob_fitted,2,-1.8174105338471063,1.7374173253696328,0.16890836282210836,0.16165823902417695,62.0,62.0,0.044713025299113016,0.020875402291818366,0.03701659137670344,0.017320961140562044,-0.022342487150819018,0.030833952356054403,57.083333333333336,20.833333333333336,74.16666666666667,25.833333333333332,0.07948082023161285,0.04430507812012041,0.0,0.0,0.0,0.0,0.10717951811786126,0.0411147403084572,3.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.190238721444893,0.8161962565039266,0.005496633592986997,0.0028078220565578727,0.03799714086956858,0.0022837514112931494,0.001071848316288803,0.000614083878525283
sumo_arterial_mixed,adaptive_rule_9knob_hand,2,-1.4408712353031254,1.3415344943193637,0.11248050887694418,0.10380249559500508,51.5,51.5,0.040006095810607246,0.015677076057116986,0.03320437171864756,0.013238456544998176,-0.017565268776570397,0.027011774424111634,57.5,19.583333333333332,78.54166666666667,21.458333333333332,0.07197281715359286,0.03502255487883524,0.0,0.0,0.0,0.0,0.10703473976272941,0.0410204566362722,3.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.160008771611578,0.8102775351534036,0.004547296432691167,0.0019364625517554505,0.0,0.0,0.0,0.0
sumo_arterial_mixed,adaptive_rule_calibration,2,-1.9561089970994754,1.8808541257605818,0.19852771950994225,0.19529679468103395,62.5,62.5,0.045436646933530514,0.02426333907220492,0.03774781707691767,0.020392458230709575,-0.025870356184644908,0.03158107491512531,58.33333333333333,22.916666666666668,73.95833333333333,26.041666666666668,0.0823068113024325,0.04761802997235537,0.0,0.0,0.0,0.0,0.10691228948087708,0.04120079659718375,3.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.229500222239494,0.8490009318074186,0.004638923082215047,0.0022185195149043487,0.0,0.0,0.0,0.0
sumo_arterial_mixed,conservative_soc_ref_rule,2,-1.9306988964517815,1.831514165251914,0.19070580715683355,0.18567831044616834,62.5,62.5,0.045413939343482104,0.023226281946868266,0.0376420517903704,0.019583731192859978,-0.024444928252859155,0.031862501572917167,57.08333333333333,21.249999999999996,73.95833333333333,26.041666666666668,0.08262146993650368,0.04567837000879807,0.0,0.0,0.0,0.0,0.10700723855387749,0.04122097894890357,3.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1560033492698352,0.8904072829243155,0.005515037716925472,0.002456820118210059,0.0,0.0,0.0,0.0
sumo_arterial_mixed,fixed_retuned_calibration,2,-1.5320971904991494,1.4240563824730177,0.17048548011647463,0.16479156671120476,72.5,72.5,0.04451722982829057,0.02193911036431117,0.03827747579141325,0.019913882647787956,-0.025095535170736646,0.03264383948701793,52.083333333333336,25.833333333333336,69.79166666666667,30.208333333333332,0.0742104244583375,0.036566383123235374,0.0,0.0,0.0,0.0,0.10732131048641003,0.04091323293931454,3.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979166666666667,0.0,0.003985416666666668,0.0,0.0,0.0,0.0,0.0
sumo_arterial_mixed,global_static_tuned,2,-0.9701883669026016,0.9596725490057932,0.09159961639652738,0.043717819153571244,35.0,21.0,0.041634818718821465,0.006528058462776643,0.03532963804240984,0.005657649735787848,-0.01236387868077393,0.024420098580115852,44.583333333333336,6.25,85.41666666666667,8.75,0.049689640482994485,0.043583363029630035,2.0,2.0,0.008333333333333333,0.008333333333333333,0.10595748996086304,0.03893340008141066,3.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7809549267071683,0.5271774125160889,0.006599390691638156,0.0030366350169128776,0.7987685203552246,0.0,0.004268395304679872,0.0
sumo_arterial_mixed,map_rule_zero_offset,2,-1.5890119075682925,1.507185547417125,0.18308382361380218,0.17196466308153682,74.5,74.5,0.04661037542334738,0.02164467214076916,0.040093465812469614,0.019910144513724762,-0.02792980853670483,0.03187190156951504,49.375,23.541666666666668,68.95833333333333,31.041666666666668,0.074599243490403,0.03922199630884923,0.0,0.0,0.0,0.0,0.10738860404436781,0.04111931465317928,3.5,1.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sumo_arterial_mixed,per_task_static_oracle,2,-0.024694866532192817,0.022807547291212368,0.07465545987623765,0.07380163924758179,27.0,27.0,0.03199490722672706,0.013325826169535768,0.023672609823025523,0.008040038783216689,-0.012557252528758065,0.01360898818018208,77.70833333333333,11.875,88.75,11.25,0.015745983183649837,0.015728017414151974,0.0,0.0,0.0,0.0,0.10710951064237725,0.0400843849664927,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7535135485221515,0.0630804377892793,0.010198523654249584,0.002039735729744087,0.7536662817001343,0.20626294612884521,0.008564830422401429,0.00041591882705688515
sumo_arterial_mixed,v3_meta_rl,10,-2.2444007611069794,2.1538351215919156,0.14082140282093017,0.13949182958529951,60.4,62.138876719812046,0.04216700479347151,0.01944941096103819,0.035702076210914147,0.016920703100766207,-0.024680691747854994,0.02694757668230467,55.25,23.481819208343577,74.83333333333333,25.891198633255023,0.07061691154861882,0.04038330062546184,0.2,0.4000000000000001,0.0012082449810796529,0.0018138981280538928,0.10739179337885467,0.04090502648706269,3.5,1.5,0.6798089071025395,0.17398506582141615,0.030719670470779885,0.06051223737772386,0.36131590938855934,0.3619049607702979,0.7719794161517431,0.09067445669632404,0.0008333333333333333,0.0016666666666666666,0.2512500000000001,0.25527116573470565,0.0,0.0,0.0,0.0,0.0,0.0,1.2544198234119617,0.6866230279040615,0.004351382769002904,0.001634293316856808,0.38809230472785805,0.10068470639075602,0.003768639251051355,0.0014745445315175792
sumo_arterial_mixed,v3_meta_rl_floor085,10,-2.280753824733303,2.1929738582300535,0.14335051151767939,0.1430018713459054,60.8,61.89151799721832,0.042077203325955256,0.019914473552873593,0.035517293946581985,0.017335936183556864,-0.025419021922189693,0.026408123391941585,56.29166666666667,23.961376618308982,74.66666666666667,25.78813249884097,0.07068795986577917,0.041542077474581704,0.3,0.45825756949558405,0.0012705851073968155,0.0018968880527485377,0.10765698518636091,0.040744031300571706,3.5,1.5,0.6768834079843105,0.17384183432783282,0.023286256047905622,0.059250508907018974,0.35778797984530725,0.3583257432687313,0.793433751006724,0.09527243321078104,0.00125,0.0019094065395649333,0.25291666666666673,0.2542284760910067,0.0,0.0,0.0,0.0,0.0,0.0,1.2432065587484316,0.6579672821888272,0.004407011710661559,0.0015834061773797948,0.38795330284046936,0.0972134262791673,0.0037644085133166907,0.0014149512985959256
