controller,t_s,v_mps,P_dem_kw,SOC,engine_on,P_eng_cmd_kw,P_mot_cmd_kw,P_batt_kw,battery_limit_kw,battery_limit_usage,delta_P_eng_on_kw,delta_SOC_ref,reward,SOC_tail_risk,battery_limit_proximity_risk,constraint_flags
baseline,0,15.6899995803833,3.282837719189549,0.5482464573137851,0.0,0.0,3.282837719189549,4.734565252780276,51.00000000000001,0.09283461279961323,0.0,0.0,-0.002030488854551133,0.0,0.0,0.0
baseline,1,17.239999771118164,48.56287040880122,0.547906260504648,1.0,48.72068925056057,-0.1578188417593509,0.9185313846702338,50.78957487765421,0.018085037862255432,0.0,0.0,-0.15653320271488275,0.0,0.0,0.0
baseline,2,18.40999984741211,40.51307004993697,0.5475755513168334,1.0,40.701506604518656,-0.18843655458168485,0.8929148070990744,50.74875126055775,0.01759481336820702,0.0,0.0,-0.054819056245346526,0.0,0.0,0.0
baseline,3,20.030000686645508,59.64548410046897,0.547254077954094,1.0,59.86368448195397,-0.21820038148499776,0.8679780793966788,50.709066158020015,0.017116822398027965,0.0,0.0,-0.08368181878631442,0.0,0.0,0.0
baseline,4,20.6299991607666,26.53898085980285,0.546941594580212,1.0,26.786113843934398,-0.2471329841315466,0.8437051094814748,50.67048935449128,0.016650818261866488,0.0,0.0,-0.03520475035439261,0.0,0.0,0.0
baseline,5,20.709999084472656,8.70404414994552,0.5466378612194334,1.0,8.979300637726448,-0.2752564877809274,0.8200800741021094,50.632991349625435,0.016196555886642792,0.0,0.0,-0.011667694118416505,0.0,0.0,0.0
baseline,6,19.360000610351562,-36.97189087864974,0.5563470776333456,0.0,0.0,-29.005196082513788,-26.21488431756296,35.201728326834,0.7447044666150542,0.0,0.0,-0.062276415704079185,0.0,0.0,0.0
baseline,7,14.859999656677246,-104.31341242325746,0.5635225398131011,0.0,0.0,-21.72739136738292,-19.373747885339945,34.61917534199927,0.55962476558002,0.0,0.0,-0.015876569509553868,0.0,0.0,0.0
baseline,8,10.6899995803833,-69.85304588019635,0.5684463017410125,0.0,0.0,-15.345363009694909,-13.294157205360962,34.18864761121394,0.3888471213175585,0.0,0.0,-0.02044059834527682,0.0,0.0,0.0
baseline,9,10.970000267028809,6.833747937818171,0.5652936525644758,0.0,0.0,6.833747937818171,8.512152776649163,53.2135562089215,0.15996211084314002,0.0,0.0,-0.01380023038901064,0.0,0.0,0.0
baseline,10,10.829999923706055,-0.8223453345418604,0.5651623753314848,0.0,0.0,-0.8223453345418604,0.35444852907558744,52.8352383077371,0.006708563080781688,0.0,0.0,-0.010359451664644392,0.0,0.0,0.0
baseline,11,11.9399995803833,24.08449701704625,0.5552839289102688,0.0,0.0,24.08449701704625,26.671805337283246,52.81948503977818,0.5049614799765049,0.0,0.0,-0.011909606789525467,0.0,0.0,0.0
baseline,12,13.25,31.333764017992046,0.5547662096952439,1.0,31.043147927927265,0.2906160900647805,1.3978418805669972,51.63407146923225,0.027072083234806386,0.0,0.0,-0.13210010075908993,0.0,0.0,0.0
baseline,13,14.680000305175781,37.90337552994394,0.5542610384970763,1.0,37.64123399670553,0.26214153323841316,1.3639622350525182,51.57194516342928,0.026447756250616117,0.0,0.0,-0.05116344323412208,0.0,0.0,0.0
baseline,14,16.020000457763672,39.23757260125181,0.5537681267638931,1.0,39.00321548391262,0.23435711733919362,1.3308616795948256,51.51132461964916,0.025836293075778605,0.0,0.0,-0.05292115059999713,0.0,0.0,0.0
baseline,15,17.989999771118164,63.4831656222855,0.5532871918408909,1.0,63.27591865027138,0.20724697201411857,1.298524292105874,51.45217521166717,0.02523750039262526,0.0,0.0,-0.08937793530490688,0.0,0.0,0.0
baseline,16,19.75,63.33131190642949,0.5528179568847553,1.0,63.15051635518049,0.18079555124899827,1.266934381566192,51.39446302090691,0.024651184331876606,0.0,0.0,-0.08903889781897832,0.0,0.0,0.0
