controller,controller_display,cases,SOC_RMSE_mean,SOC_RMSE_p95,abs_final_SOC_error_mean,abs_final_SOC_error_p95,SOC_tail_risk_integral_mean,SOC_tail_risk_integral_p95,constraint_violation_steps_mean,constraint_violation_steps_p95,battery_limit_risk_integral_mean,battery_limit_risk_integral_p95,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_p95,engine_switch_count_mean,engine_switch_count_p95,fuel_kg_mean,fuel_kg_p95,SOC_min_mean,SOC_min_p95,SOC_max_mean,SOC_max_p95,battery_limit_violation_count_mean,battery_limit_violation_count_p95,mode_switch_count_mean,mode_switch_count_p95,battery_energy_throughput_kWh_mean,battery_energy_throughput_kWh_p95,mean_abs_delta_P_mean,mean_abs_delta_P_p95,mean_abs_delta_SOC_mean,mean_abs_delta_SOC_p95,action_saturation_ratio_mean,action_saturation_ratio_p95,action_rate_mean_mean,action_rate_mean_p95,confidence_mean_mean,confidence_mean_p95,confidence_min_mean,confidence_min_p95,confidence_p5_mean,confidence_p5_p95,confidence_p50_mean,confidence_p50_p95,confidence_p95_mean,confidence_p95_p95,fallback_activation_ratio_mean,fallback_activation_ratio_p95
map_rule_zero_offset,Baseline zero-offset EMS,16,0.0722921642593484,0.10427396066134133,0.07121621257688449,0.14227184260354053,122.6841869081571,242.6488538731533,2.5625,11.75,2.5321170903736157,11.86554062402983,0.1245867713295157,0.5034626459813635,6.75,18.0,0.1131440761486085,0.4932879705757829,0.44053657496501947,0.5301204665143197,0.5689271411796495,0.6497773121442187,2.25,10.5,28.9375,72.0,0.2934088336246078,0.7352975362815242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
old_latent_sac_adapter,Old Meta-RL adapter,16,0.07248661865073941,0.10438953672027317,0.06952911975032244,0.14246192761900744,122.93524818649696,243.1880859327882,2.5625,11.75,2.6057194105874495,12.003713027253692,0.12481904993225608,0.5048466746972418,6.875,18.25,0.11364879199008796,0.4953940442715585,0.44117839999482933,0.5303222968809493,0.5691986630960282,0.6497773121442187,2.3125,10.75,28.6875,71.25,0.29450626514919437,0.7375996768321329,0.39417299346173423,1.3449628591003906,0.0015497939279014343,0.00516743534875568,0.01614583333333333,0.09687499999999999,0.028735820975311493,0.1179986831518667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
new_robust_adapter_no_gate,"New robustness adapter, no gate",16,0.07175605663947379,0.10530741149785902,0.06639827399636108,0.13932122423032042,120.43004735549154,243.71968401525473,2.375,11.75,2.4000379158095724,12.004889225639047,0.12493599749728357,0.5029357977957577,7.0,18.5,0.1142713187139489,0.49230184616637535,0.44194549609503214,0.5299316392301718,0.5697057782577418,0.6497773121442187,2.0625,10.5,28.9375,72.0,0.28874713441640965,0.6863113755532382,0.8667887905122673,1.3099032269325106,0.002707074365697675,0.0038150473134048904,0.0015625,0.004166666666666667,0.05337743887963979,0.10003996340092283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
new_robust_confidence_adapter,New robustness/confidence adapter,16,0.0691785363386924,0.10456356253394455,0.06702632199961912,0.13640778465969855,111.7190501501691,243.9369114921768,2.5625,11.75,2.467409744368283,11.73807942892564,0.12463174426819021,0.5037470479635539,6.6875,18.0,0.11386564624987969,0.4938911078252755,0.4451621942127757,0.5305214096123996,0.5694191146471046,0.6497773121442187,2.25,10.5,28.6875,73.5,0.29262558655399407,0.7308734242928715,0.6875709302397085,1.4229728606716137,0.001857364609664204,0.003068596988001053,0.0,0.0,0.033726922233754134,0.059381126273904024,0.4804850193910567,0.800985359270732,0.031850108566882404,0.12741281216240732,0.08325254628226407,0.4618424472615579,0.48430345709679473,0.9104105631704145,0.8724204069808625,0.9738962972738946,0.033854166666666664,0.15625
