split,task_idx,task_key,stage,time_s,delta_P_eng_on_kw,delta_SOC_ref
heldout_evaluation,3,heldout_evaluation:003,9,90,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,10,100,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,11,110,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,12,120,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,13,130,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,14,140,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,15,150,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,16,160,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,17,170,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,18,180,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,19,190,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,20,200,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,21,210,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,22,220,0.0,0.0
heldout_evaluation,3,heldout_evaluation:003,23,230,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,0,0,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,1,10,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,2,20,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,3,30,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,4,40,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,5,50,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,6,60,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,7,70,-2.0,0.0
heldout_evaluation,4,heldout_evaluation:004,8,80,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,9,90,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,10,100,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,11,110,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,12,120,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,13,130,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,14,140,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,15,150,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,16,160,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,17,170,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,18,180,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,19,190,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,20,200,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,21,210,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,22,220,0.0,0.0
heldout_evaluation,4,heldout_evaluation:004,23,230,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,0,0,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,1,10,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,2,20,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,3,30,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,4,40,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,5,50,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,6,60,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,7,70,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,8,80,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,9,90,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,10,100,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,11,110,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,12,120,-1.0,0.0
heldout_evaluation,5,heldout_evaluation:005,13,130,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,14,140,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,15,150,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,16,160,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,17,170,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,18,180,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,19,190,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,20,200,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,21,210,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,22,220,0.0,0.0
heldout_evaluation,5,heldout_evaluation:005,23,230,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,0,0,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,1,10,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,2,20,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,3,30,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,4,40,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,5,50,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,6,60,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,7,70,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,8,80,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,9,90,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,10,100,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,11,110,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,12,120,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,13,130,-3.0,0.0
heldout_evaluation,6,heldout_evaluation:006,14,140,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,15,150,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,16,160,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,17,170,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,18,180,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,19,190,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,20,200,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,21,210,0.0,0.0
heldout_evaluation,6,heldout_evaluation:006,22,220,0.0,0.005
heldout_evaluation,6,heldout_evaluation:006,23,230,0.0,0.01
heldout_evaluation,7,heldout_evaluation:007,0,0,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,1,10,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,2,20,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,3,30,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,4,40,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,5,50,2.0,0.0
heldout_evaluation,7,heldout_evaluation:007,6,60,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,7,70,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,8,80,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,9,90,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,10,100,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,11,110,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,12,120,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,13,130,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,14,140,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,15,150,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,16,160,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,17,170,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,18,180,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,19,190,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,20,200,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,21,210,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,22,220,0.0,0.0
heldout_evaluation,7,heldout_evaluation:007,23,230,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,0,0,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,1,10,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,2,20,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,3,30,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,4,40,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,5,50,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,6,60,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,7,70,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,8,80,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,9,90,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,10,100,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,11,110,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,12,120,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,13,130,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,14,140,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,15,150,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,16,160,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,17,170,-3.0,0.0
heldout_evaluation,8,heldout_evaluation:008,18,180,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,19,190,3.0,0.0
heldout_evaluation,8,heldout_evaluation:008,20,200,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,21,210,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,22,220,0.0,0.0
heldout_evaluation,8,heldout_evaluation:008,23,230,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,0,0,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,1,10,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,2,20,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,3,30,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,4,40,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,5,50,3.0,0.0
heldout_evaluation,9,heldout_evaluation:009,6,60,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,7,70,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,8,80,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,9,90,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,10,100,-1.0,0.0
heldout_evaluation,9,heldout_evaluation:009,11,110,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,12,120,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,13,130,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,14,140,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,15,150,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,16,160,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,17,170,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,18,180,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,19,190,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,20,200,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,21,210,0.0,0.0
heldout_evaluation,9,heldout_evaluation:009,22,220,0.0,0.0
