seed,split,episode_reward_delta,abs_final_SOC_error_delta,SOC_RMSE_delta,constraint_violation_steps_delta,SOC_corrected_fuel_kg_delta,engine_switch_count_delta
20260706,meta_validation,1.9124302752514242,-0.0013701176702075523,-0.0010251619648553438,0.03125,4.0767197277247175e-05,0.234375
20260706,heldout_evaluation,0.31011141916279983,-0.0014668029410912229,-0.0005420526066399987,0.078125,-0.00023159254739255427,-0.078125
20260707,meta_validation,7.894353348724339,-0.003945915195567571,-0.003421924264873184,0.0,0.00028909156235027545,0.421875
20260707,heldout_evaluation,2.686008993260976,-0.0034843628039022776,-0.0011309482047838432,-0.046875,0.0003736108790109685,0.40625
20260708,meta_validation,-2.426479581563603,-0.00012808709920011322,0.0008863685383721203,-0.125,0.0003302236793617277,0.140625
20260708,heldout_evaluation,0.003392392630888641,-0.00034296012982801966,2.616389062271593e-06,0.015625,0.00011131501912697297,-0.03125
20260709,meta_validation,5.69463909811703,-0.0041609025055448145,-0.00242548544065196,-0.015625,0.00023284029784283357,0.328125
20260709,heldout_evaluation,-0.8747646437898826,0.002675769564549315,-0.0002698556605711984,-0.046875,-8.643455462705216e-05,0.09375
20260710,meta_validation,-8.424473290345873,0.006289759119604001,0.0027737239192025956,0.0625,-0.0004634344295607108,-0.390625
20260710,heldout_evaluation,-4.781141850911684,0.0009520180976914433,0.0016024880219085236,0.03125,-0.00011341134167146489,-0.15625
