reward,SOC,final_SOC_error,fuel_kg,SOC_corrected_fuel_kg,fuel_L_per_100km,distance_km,engine_switch_count,mode_switch_count,battery_energy_throughput_kWh,SOC_RMSE,constraint_violation_steps,last_delta_P_eng_on_kw,last_delta_SOC_ref,episode_reward,steps,task_idx,profile_uid,source_family,source_id,profile_id,initial_SOC,mass_scale,grade_bias,start_idx,split,policy,train_step
-0.008328266162572083,0.4573955976902264,-0.09260440230977363,0.06935498686361681,0.08430904704521901,5.684015474191119,1.637819997526705,12.0,52.0,0.35735066031892204,0.06143166431128011,0.0,0.0,0.0,-1.686191067293897,240,0,sumo_selected:afc8d24a24039b02,sumo_selected,osm_custom_mixed_arterial,afc8d24a24039b02,0.65,1.0,2.0,37,meta_validation,map_rule_zero_offset,6000
-0.012506969270717162,0.43088869993633067,-0.11911130006366938,0.08170425998879988,0.10093874026223931,6.001693594004756,1.8273200042322268,15.0,76.0,0.3313952142692066,0.09430496700697105,0.0,0.0,0.0,-2.25997337910718,240,1,sumo_selected:b3862a0784b0a185,sumo_selected,osm_custom_mixed_arterial,b3862a0784b0a185,0.55,1.0,2.0,75,meta_validation,map_rule_zero_offset,6000
-0.006635735473877054,0.5135909399406923,-0.036409060059307774,0.0,0.0058794534784767346,0.0,0.07198000052385033,0.0,2.0,0.10447585426712205,0.05906367229005746,0.0,0.0,0.0,-1.0603627048432192,240,2,sumo_selected:c882930ea721eb05,sumo_selected,osm_custom_mixed_arterial,c882930ea721eb05,0.65,1.0,2.0,262,meta_validation,map_rule_zero_offset,6000
-0.004463247488097625,0.49683440639877974,-0.05316559360122031,0.09604576278115465,0.10463111581484454,9.825957036641467,1.312040002554655,8.0,17.0,0.30708524305999896,0.043047430008959255,0.0,0.0,0.0,-1.1625531717499475,240,3,sumo_selected:0535be537e92eb78,sumo_selected,osm_custom_freeway_corridor,0535be537e92eb78,0.65,1.0,2.0,698,meta_validation,map_rule_zero_offset,6000
-0.009251655737856686,0.48442010116949746,-0.06557989883050258,0.12825469893109248,0.1388447543642478,10.659225800658554,1.6150700014829626,20.0,51.0,0.3520090522153028,0.054175132466764496,0.0,0.0,0.0,-1.7468329634745225,240,4,sumo_selected:afc8d24a24039b02,sumo_selected,osm_custom_mixed_arterial,afc8d24a24039b02,0.55,1.15,2.0,258,meta_validation,map_rule_zero_offset,6000
-0.006639947094361066,0.48958622294197096,-0.06041377705802908,0.0851477533614088,0.09490356664231062,10.056337457825313,1.1365199991595003,10.0,26.0,0.2783661494420548,0.03620811305251337,0.0,0.0,0.0,-1.0920880784725757,240,5,sumo_selected:4f57448386849181,sumo_selected,osm_custom_freeway_corridor,4f57448386849181,0.55,1.0,0.0,286,meta_validation,map_rule_zero_offset,6000
-0.011160620190846942,0.429511286519602,-0.12048871348039802,0.1865121448639863,0.20596905433749554,12.180024290752248,2.055429991964251,12.0,41.0,0.40102536968087954,0.09610283872701914,3.0,0.0,0.0,-17.521192487052566,240,6,sumo_selected:374a1b8a29318a86,sumo_selected,osm_custom_freeway_corridor,374a1b8a29318a86,0.45,1.15,0.0,181,meta_validation,map_rule_zero_offset,6000
-0.007812186945801142,0.4932065510346562,-0.05679344896534383,0.12482367766387556,0.13399486858531268,16.36312293371204,1.0239399978928267,11.0,20.0,0.26281515966806385,0.06714216690477731,0.0,0.0,0.0,-1.7754835821215842,240,7,sumo_selected:9c662254f232fad4,sumo_selected,osm_custom_urban_signalized,9c662254f232fad4,0.45,1.0,2.0,63,meta_validation,map_rule_zero_offset,6000
-0.0058028838600698894,0.4889628764715038,-0.06103712352849622,0.07390786663324247,0.08376433993030825,6.057148542669282,1.637819997526705,12.0,51.0,0.3161649695770416,0.048062510835630776,0.0,-3.8214829564094543,0.0017656367272138596,-1.4277993338334696,240,0,sumo_selected:afc8d24a24039b02,sumo_selected,osm_custom_mixed_arterial,afc8d24a24039b02,0.65,1.0,2.0,37,meta_validation,latent_sac_adapter,6000
-0.008007513794428973,0.4739542190913911,-0.07604578090860892,0.09412503925428109,0.10640515937708277,6.9140782280544935,1.8273200042322268,21.0,78.0,0.2798431755811562,0.0690623796133642,0.0,-3.6237868666648865,-0.0010549265891313553,-1.9028226697937611,240,1,sumo_selected:b3862a0784b0a185,sumo_selected,osm_custom_mixed_arterial,b3862a0784b0a185,0.55,1.0,2.0,75,meta_validation,latent_sac_adapter,6000
-0.0018888678270870647,0.5405907855874537,-0.009409214412546385,0.006133098510925221,0.007652529067975176,11.436992129227255,0.07198000052385033,1.0,3.0,0.08422597003205096,0.058962338467796756,0.0,-3.539990186691284,-0.001727963984012604,-1.0658211043644878,240,2,sumo_selected:c882930ea721eb05,sumo_selected,osm_custom_mixed_arterial,c882930ea721eb05,0.65,1.0,2.0,262,meta_validation,latent_sac_adapter,6000
-0.003022237721348412,0.5148470284831449,-0.03515297151685515,0.09971140661375076,0.10538802282759699,10.200970548614807,1.312040002554655,10.0,21.0,0.25634654170020155,0.035696853681493564,0.0,-3.6942249536514282,0.0015760675072669984,-0.9792000375830889,240,3,sumo_selected:0535be537e92eb78,sumo_selected,osm_custom_freeway_corridor,0535be537e92eb78,0.65,1.0,2.0,698,meta_validation,latent_sac_adapter,6000
-0.00900519714044966,0.4875008336370853,-0.06249916636291475,0.1297656649308116,0.13985823366166505,10.784801923033429,1.6150700014829626,22.0,55.0,0.3153219051308651,0.04391529856895562,0.0,-4.844761848449707,0.0018135871738195423,-1.570066917636539,240,4,sumo_selected:afc8d24a24039b02,sumo_selected,osm_custom_mixed_arterial,afc8d24a24039b02,0.55,1.15,2.0,258,meta_validation,latent_sac_adapter,6000
-0.0027203081797346792,0.5249106801896748,-0.02508931981032525,0.09315286183216645,0.0972043668254606,11.001777225645663,1.1365199991595003,13.0,27.0,0.18542017676124192,0.01982453984416958,0.0,-3.805464208126068,-0.0024485351517796517,-0.8242267402883248,240,5,sumo_selected:4f57448386849181,sumo_selected,osm_custom_freeway_corridor,4f57448386849181,0.55,1.0,0.0,286,meta_validation,latent_sac_adapter,6000
-0.009182885432764342,0.45423297099563453,-0.09576702900436551,0.19226429415406027,0.20772906558419105,12.555663733042863,2.055429991964251,14.0,43.0,0.332036741768018,0.07444648751437138,1.0,-6.3756630420684814,0.009685296565294266,-7.062203546484367,240,6,sumo_selected:374a1b8a29318a86,sumo_selected,osm_custom_freeway_corridor,374a1b8a29318a86,0.45,1.15,0.0,181,meta_validation,latent_sac_adapter,6000
