split,metric,baseline_mean,adapter_mean,adapter_minus_baseline_pct,reduction_pct
meta_validation,SOC_RMSE,0.06097613981653294,0.06060849760059172,-0.6029279928958966,0.6029279928958966
meta_validation,abs_final_SOC_error,0.05444315846369358,0.05424217636122825,-0.36915952001454655,0.36915952001454655
meta_validation,constraint_violation_steps,0.91875,0.903125,-1.7006802721088436,1.7006802721088436
meta_validation,SOC_corrected_fuel_kg,0.11175914315864806,0.11180673308854086,0.04258258299747866,-0.04258258299747866
meta_validation,engine_switch_count,10.88125,10.9125,0.2871912693854107,-0.2871912693854107
heldout_evaluation,SOC_RMSE,0.06228447817863238,0.061944578331496344,-0.5457215940080563,0.5457215940080563
heldout_evaluation,abs_final_SOC_error,0.05423787568298425,0.05353432529557922,-1.2971569747997154,1.2971569747997154
heldout_evaluation,constraint_violation_steps,1.14375,1.11875,-2.1857923497267873,2.1857923497267873
heldout_evaluation,SOC_corrected_fuel_kg,0.11185844998823627,0.11193574937628882,0.0691046479373535,-0.0691046479373535
heldout_evaluation,engine_switch_count,8.615625,8.646875,0.36271309394269136,-0.36271309394269136
