train_step,split,policy,episodes,episode_reward_mean,episode_reward_std,fuel_kg_mean,fuel_kg_std,SOC_corrected_fuel_kg_mean,SOC_corrected_fuel_kg_std,final_SOC_error_mean,final_SOC_error_std,SOC_RMSE_mean,SOC_RMSE_std,engine_switch_count_mean,engine_switch_count_std,battery_energy_throughput_kWh_mean,battery_energy_throughput_kWh_std,constraint_violation_steps_mean,constraint_violation_steps_std
2000,heldout_evaluation,latent_sac_adapter,8,-5.321440037683075,7.248041590758663,0.0864574661318544,0.08450283477528674,0.09604987905310718,0.081402327961759,-0.05940190520123936,0.04032523868484166,0.06494799560767117,0.03120047854926276,7.875,6.41165930161608,0.27405878364815794,0.1350987420119078,0.75,1.3919410907075054
2000,heldout_evaluation,map_rule_zero_offset,8,-4.858446665055748,5.8610281637769095,0.08050161850746201,0.08509608824380145,0.09430548889926435,0.08110529861081339,-0.08548174553738337,0.03682664593158668,0.07377619578939323,0.02899059708963578,6.875,6.273705045664802,0.27953162656703023,0.1450447555039422,0.625,1.1110243021644486
2000,meta_validation,latent_sac_adapter,8,-13.04286234016691,17.285780390930668,0.18112770395924194,0.07396569703527996,0.1847934590345946,0.07552700563476378,-0.022700527725887626,0.03486833386960901,0.057969038873814216,0.0270328547207577,17.375,6.556247020971678,0.38447180164757533,0.15468070683232654,2.25,3.344772040064913
2000,meta_validation,map_rule_zero_offset,8,-17.56182049424858,20.091720349372327,0.1769860404924733,0.07376609194825193,0.18309263953274518,0.07525436416014265,-0.0378156799827206,0.036771997508693005,0.06474662736894275,0.03126892755303871,16.875,6.173279112432873,0.3968213469813207,0.1561485277200926,3.125,3.887077951366553
2000,meta_validation,latent_sac_adapter_minus_zero_offset,8,4.518958154081668,4.01039226853169,0.0041416634667686405,0.001978694542783187,0.0017008195018494467,0.0015753842985579698,0.015115152256832971,0.004063718415579949,-0.006777588495128537,0.008822293201231464,0.5,0.8660254037844386,-0.012349545333745382,0.019675757327140917,-0.875,0.7806247497997998
2000,heldout_evaluation,latent_sac_adapter_minus_zero_offset,8,-0.46299337262732637,1.6343496386591938,0.0059558476243923904,0.006288014764055956,0.0017443901538428163,0.0016676825718115625,0.02607984033614401,0.031521249700728164,-0.008828200181722066,0.007464593472307196,1.0,1.0,-0.005472842918872265,0.027742921008222274,0.125,0.33071891388307384
4000,heldout_evaluation,latent_sac_adapter,8,-2.8952615008615386,3.394196518646365,0.08319668998190378,0.056340878171456533,0.09137234165175347,0.05593616984159199,-0.050628479970328384,0.045393452778260665,0.0665176558688143,0.016729911541524888,10.5,8.774964387392123,0.2810936715873028,0.13146820525323732,0.25,0.6614378277661477
4000,heldout_evaluation,map_rule_zero_offset,8,-3.0199329747648993,3.6085827016582965,0.07787025552467158,0.0549957394332812,0.08920704041797228,0.05520292173062873,-0.07020409015406956,0.05279016701599627,0.07586682613959239,0.021433748243208376,8.625,7.330373455697875,0.29884229612159946,0.1477240544030572,0.25,0.6614378277661477
4000,meta_validation,latent_sac_adapter,8,-3.0493191404222113,5.389414838119666,0.10357238692153431,0.07165731592021773,0.10845046320211375,0.0698846536341329,-0.030207939041217872,0.03738427402986836,0.03777059761275556,0.028965704151730907,11.875,3.75624480032918,0.25273553441766905,0.12565502247060062,0.375,0.9921567416492215
4000,meta_validation,map_rule_zero_offset,8,-4.027911078619201,6.964282058741769,0.0975156099149565,0.07413075815389665,0.10708056667948695,0.07028601618046197,-0.059231880408499665,0.0431131083589375,0.05805152395890392,0.031342481851754235,10.875,4.106016926414211,0.280421713978529,0.12483967137374981,0.5,1.3228756555322954
4000,meta_validation,latent_sac_adapter_minus_zero_offset,8,0.9785919381969903,1.603924819446329,0.006056777006577804,0.003799330997785386,0.0013698965226267958,0.0013355997042801943,0.029023941367281793,0.01658805946794239,-0.020280926346148365,0.018649478494710995,1.0,1.4142135623730951,-0.027686179560859957,0.02864050610411532,-0.125,0.33071891388307384
4000,heldout_evaluation,latent_sac_adapter_minus_zero_offset,8,0.12467147390336131,0.26304942955640515,0.005326434457232205,0.0035659104685778747,0.002165301233781172,0.0018378425961668528,0.019575610183741175,0.011812018156551833,-0.009349170270778112,0.014614246121218614,1.875,1.7633419974582356,-0.01774862453429664,0.021536811522050465,0.0,0.0
6000,heldout_evaluation,latent_sac_adapter,8,-3.017645461784962,3.772470136780731,0.062107087710809784,0.06385932806953594,0.06568333678146844,0.0650229218331187,-0.022146253504226887,0.042551965254477964,0.042599550264897854,0.02152840373622437,7.5,6.519202405202649,0.28287113047177503,0.20063643441172138,0.375,0.6959705453537527
6000,heldout_evaluation,map_rule_zero_offset,8,-4.405808001107419,7.036739671996356,0.05783619398075511,0.06287316323128109,0.06364113863417109,0.06467985883818984,-0.035947657261153704,0.042029995489547334,0.0516991185449302,0.020235359451022367,5.875,5.967359131140006,0.30667448800605984,0.21913827903094504,0.625,1.3169567191065923
6000,meta_validation,latent_sac_adapter,8,-2.048887912616136,1.9241934421475941,0.10184270196813085,0.0495029547409198,0.11015261448914376,0.052847262629772324,-0.051459902722717,0.02630023783612422,0.050883631247447075,0.016738386653719038,13.0,6.164414002968976,0.2504798086323623,0.07761790857929318,0.125,0.33071891388307384
6000,meta_validation,map_rule_zero_offset,8,-3.5380846792644367,5.299420761314993,0.0964804105567418,0.050385849042047806,0.10868382506626828,0.05296687803330647,-0.07557077429603057,0.02941367712549785,0.06393449809604278,0.02030305715691472,11.0,5.361902647381804,0.2993153378651938,0.08464093463410124,0.375,0.9921567416492215
6000,meta_validation,latent_sac_adapter_minus_zero_offset,8,1.4891967666483008,3.391655970517203,0.005362291411389041,0.003467899608276067,0.0014687894228754802,0.0018253950026489952,0.024110871573313576,0.012372777283608704,-0.013050866848595702,0.007507648882010753,2.0,1.8027756377319946,-0.04883552923283149,0.021812685799946722,-0.25,0.6614378277661477
6000,heldout_evaluation,latent_sac_adapter_minus_zero_offset,8,1.3881625393224575,3.5058970984235187,0.004270893730054669,0.003717633819626294,0.0020421981472973486,0.002016195011745363,0.013801403756926817,0.011983293465998553,-0.009099568280032347,0.013131372903353694,1.625,1.4086784586980805,-0.02380335753428479,0.025706836249062715,-0.25,0.6614378277661477
