split,metric,baseline_mean,adapter_mean,dp_oracle_mean,adapter_improvement,dp_improvement,adapter_gap_to_dp,adapter_improvement_pct,dp_improvement_pct,capture_ratio_pct
meta_validation,episode_reward,-10.088151985629565,-10.417656391276852,-10.759041162157263,-0.32950440564728645,-0.6708891765276981,-0.34138477088041164,-3.2662514018093796,-6.650268329455885,nan
meta_validation,SOC_corrected_fuel_kg,0.10058759265696529,0.10059806119351802,0.0991447729521806,-1.0468536552732388e-05,0.001442819704784687,0.0014532882413374193,-0.010407383531320136,1.4343913266769859,-0.7255609635782329
meta_validation,abs_final_SOC_error,0.05985206358149964,0.05844647415871232,0.062448743235470526,0.0014055894227873178,-0.002596679653970889,-0.004002269076758207,2.3484393664611884,-4.338496450393945,nan
meta_validation,SOC_RMSE,0.05487748280833432,0.054668717689706686,0.05826382763664364,0.00020876511862763514,-0.0033863448283093164,-0.0035951099469369516,0.3804203617661736,-6.170736438725697,nan
meta_validation,engine_switch_count,11.0,11.05,9.75,-0.05000000000000071,1.25,1.3000000000000007,-0.454545454545461,11.363636363636363,-4.000000000000057
meta_validation,constraint_violation_steps,0.625,0.6625,0.6875,-0.03749999999999998,-0.0625,-0.025000000000000022,-5.9999999999999964,-10.0,nan
heldout_evaluation,episode_reward,-24.91549337203582,-24.095498473416512,-19.63001349842736,0.8199948986193064,5.285479873608459,4.4654849749891525,3.2911043998817093,21.21362717842335,15.514105024100418
heldout_evaluation,SOC_corrected_fuel_kg,0.14833823338755442,0.148411931848455,0.1484253498055751,-7.369846090057863e-05,-8.711641802067183e-05,-1.3417957120093194e-05,-0.04968271444087585,-0.05872822941949698,nan
heldout_evaluation,abs_final_SOC_error,0.05803434445023055,0.057866999901120444,0.055131664371837696,0.00016734454911010443,0.0029026800783928525,0.002735335529282748,0.2883543368937626,5.001659113909955,5.765173721892193
heldout_evaluation,SOC_RMSE,0.07111271785701359,0.07026142712476263,0.06926910039914336,0.0008512907322509589,0.0018436174578702336,0.0009923267256192747,1.1971005439036235,2.5925284723011104,46.175020127786105
heldout_evaluation,engine_switch_count,12.0625,12.1125,11.25,-0.05000000000000071,0.8125,0.8625000000000007,-0.41450777202073125,6.7357512953367875,-6.153846153846241
heldout_evaluation,constraint_violation_steps,2.3125,2.2125,1.6875,0.10000000000000009,0.625,0.5249999999999999,4.324324324324328,27.027027027027028,16.000000000000014
